,publication_number,patent_title,appl_type,neutral_text
0,US10201261B2,Autonomous traveling body,utility,"['<p id=""p-0008"" num=""0007"">The autonomous traveling body of the embodiment includes the main body case, driving wheels, link mechanisms, a bumper energizing body, a pair of obstacle detection units, and a control unit. The main body case includes a main body part and a bumper arranged along the outer edge of the main body part. The driving wheels enable the main body case to travel. The link mechanisms connect the bumper to be movable in a relatively horizontal direction with respect to the main body part. The bumper energizing body energizes the bumper in a direction separated from the main body part. The pair of obstacle detection, units is arranged respectively at positions facing the bumper in the main body part. Moreover, the pair of obstacle detection units detects an obstacle by detecting the movement of the bumper, due to contact, with the obstacle, in at least one of a direction opposite to the energizing direction of the bumper energizing body and a direction crossing such a direction. The control unit controls the drive of the driving wheels based on the detection of the obstacle by the obstacle detection units to allow the main body case to travel autonomously.</p>']"
1,US10201287B2,Biological information detecting device and electronic apparatus,utility,"['<p id=""p-0008"" num=""0007"">An advantage of some aspects of the invention is that it is possible to provide a biological information detecting device which detects signals having different characteristics while having correlations in each light receiving portion of a plurality of light receiving portions to some extent, by having an appropriate structure, an electronic apparatus, etc.</p>', '<p id=""p-0009"" num=""0008"">Another advantage of some aspects of the invention is that it is possible to provide a biological information detecting device which reduces a body motion noise based on the signals which have different characteristics and are detected in each light receiving portion of the plurality of light receiving portions, an electronic apparatus, etc.</p>', '<p id=""p-0010"" num=""0009"">An aspect of the invention relates to a biological information detecting device including: a first light receiving portion which receives light from a subject; a second light receiving portion which receives light from the subject; and a light-transmissive member which is provided at a position further on the subject side than the first light receiving portion and the second light receiving portion, through which light from the subject is transmitted, and which applies a pressing force by coming into contact with the subject at the time of measuring biological information of the subject. In a direction from the biological information detecting device to the subject, when a height of the light-transmissive member at a position or in a region corresponding to the first light receiving portion is set to h<b>1</b> and a height of the light-transmissive member at a position or in a region corresponding to the second light receiving portion is set to h<b>2</b>, h<b>1</b>>h<b>2</b> is satisfied.</p>', '<p id=""p-0011"" num=""0010"">According to the aspect of the invention, the heights of the light-transmissive member at positions or regions respectively corresponding to the first light receiving portion and the second light receiving portion may be different from each other. Accordingly, it is possible to provide a difference in the pressing force, for example. Therefore, it is possible to make the characteristics of a first detection signal from the first light receiving portion and the characteristics of a second detection signal from the second light receiving portion be different from each other. Thus, it is possible to detect biological information based on the first and second detection signals which have different characteristics from each other.</p>', '<p id=""p-0012"" num=""0011"">In the aspect of the invention, the height h<b>1</b> may be a height of the light-transmissive member at a representative position of the first light receiving portion, and the height h<b>2</b> may be a height of the light-transmissive member at a representative position of the second light receiving portion.</p>', '<p id=""p-0013"" num=""0012"">With this configuration, it is possible to set heights of the light-transmissive members corresponding to the light receiving portions based on the representative positions of the light receiving portions.</p>', '<p id=""p-0014"" num=""0013"">In the aspect of the invention, the biological information detecting device may further include at least one light emitting portion emitting light to the subject. When a region including the first light receiving portion and the light emitting portion in a plan view seen from the subject side is set to a first region and a region including the second light receiving portion and the light emitting portion in a plan view seen from the subject side is set to a second region, the height h<b>1</b> may be an average height of the light-transmissive member in the first region and the height h<b>2</b> may be an average height of the light-transmissive member in the second region.</p>', '<p id=""p-0015"" num=""0014"">With this configuration, it is possible to set the heights of the light-transmissive members corresponding to the light receiving portions using the average heights in the first and second regions.</p>', '<p id=""p-0016"" num=""0015"">In the aspect of the invention, at the time of measuring the biological information of the subject, when a pressing force of the light-transmissive member at a position or in a region corresponding to the first light receiving portion is set to P<b>1</b> and a pressing force of the light-transmissive member at a position or in a region corresponding to the second light receiving portion is set to P<b>2</b>, P<b>1</b>>P<b>2</b> may be satisfied.</p>', '<p id=""p-0017"" num=""0016"">With this configuration, it is possible to provide a difference in the pressing force, and therefore, it is possible to make the characteristics of a first detection signal from the first light receiving portion and the characteristics of a second detection signal from the second light receiving portion be different from each other, or the like.</p>', '<p id=""p-0018"" num=""0017"">In the aspect of the invention, the biological information detecting device may further include a processing portion which calculates the biological information of the subject based on a first detection signal detected by the first light receiving portion.</p>', '<p id=""p-0019"" num=""0018"">With this configuration, it is possible to calculate the biological information based on the first detection signal.</p>', '<p id=""p-0020"" num=""0019"">In the aspect of the invention, the biological information detecting device may further include at least one light emitting portion which emits light to the subject, and the first light receiving portion may be disposed between the light emitting portion and the second light receiving portion.</p>', '<p id=""p-0021"" num=""0020"">With this configuration, it is possible to appropriately dispose the light emitting portion and the plurality of light receiving portions, or the like.</p>', '<p id=""p-0022"" num=""0021"">In the aspect of the invention, when a distance between the light emitting portion and the first light receiving portion is set to L<b>1</b> and a distance between the light emitting portion and the second light receiving portion is set to L<b>2</b>, L<b>2</b>>2×L<b>1</b> may be satisfied.</p>', '<p id=""p-0023"" num=""0022"">With this configuration, it is possible to appropriately set the distance between the light emitting portion and each of the light receiving portions, or the like.</p>', '<p id=""p-0024"" num=""0023"">In the aspect of the invention, the biological information detecting device may further include at least one light emitting portion which emits light to the subject, and when a distance between the light emitting portion and the first light receiving portion is set to L<b>1</b> and a distance between the light emitting portion and the second light receiving portion is be set to L<b>2</b>. L<b>2</b>>L<b>1</b> may be satisfied.</p>', '<p id=""p-0025"" num=""0024"">With this configuration, it is possible to appropriately set the distance between the light emitting portion and each of the light receiving portions, or the like.</p>', '<p id=""p-0026"" num=""0025"">In the aspect of the invention, the distance L<b>1</b> between the light emitting portion and the first light receiving portion may satisfy 1 mm<=L<b>1</b><=3 mm, and the distance L<b>2</b> between the light emitting portion and the second light receiving portion may satisfy 2 mm<=L<b>2</b>.</p>', '<p id=""p-0027"" num=""0026"">With this configuration, it is possible to appropriately set the distance between the light emitting portion and each of the light receiving portions, or the like.</p>']"
2,US10201459B2,Method for manufacturing absorbent article,utility,"['<p id=""p-0009"" num=""0008"">An aspect of the invention to achieve the above advantage is']"
3,US10201493B2,Method of reducing oral biofilm,utility,"['<p id=""p-0012"" num=""0011"">The present inventors conducted extensive studies and found that each of the plant extracts of potherb mustard, Japanese mustard spinach, hot radish and peppergrass belonging to the Brassicaceae family, Japanese angelica tree belonging to the Araliaceae family, and ice plant belonging to the Aizoaceae family has an inhibitory effect on the <i>A. naeslundii </i>biofilm formation induced by acid, whereby the present invention was accomplished.</p>', '<p id=""p-0013"" num=""0012"">The biofilm formation of <i>A. naeslundii </i>increases by the acid stimulation, but when 1000 ppm of the above plant is added to the culture system, the biofilm formation was found to be reduced to about 30%. At this time, some plant extracts did not affect the growth of <i>A. naeslundii</i>, suggesting that this biofilm formation inhibitory effect has a different mechanism from the antibacterial action.</p>', '<p id=""p-0014"" num=""0013""><i>A. naeslundii </i>is a Gram-positive <i>bacillus </i>found in the sites of gingivitis and root surface caries and believed to be the pathogenic bacterium of the initial periodontal disease. Since <i>A. naeslundii </i>coaggregates with <i>Streptococcus </i>and the periodontal disease bacteria, it is considered to be a bacterium which is the key to the transition of bacterial flora to the periodontal plaque, which suggests that the control of <i>A. naeslundii </i>leads to the effective periodontal disease prevention.</p>', '<p id=""p-0015"" num=""0014"">The present inventors have validated that the biofilm formation was increased by the acids produced by the oral bacteria.</p>']"
4,US10201531B2,Indazolyl-oxo-isothiazole compounds,utility,"['<p id=""p-0012"" num=""0012"">The inventors discovered as a result of exhaustive research aimed at finding a highly safe and/or highly effective Nrf2 activator that a compound having an isothiazole structure represented by Formula (I) or a pharmaceutically acceptable salt thereof or a solvate of these has Nrf2 activation ability. The compound of the present invention has Nrf2 activation ability, and preferably has an improving effect on diseases associated with Nrf2, especially multiple sclerosis, psoriasis and the like.</p>']"
5,US10201665B2,Medical puncture needle and method of manufacturing puncture needle,utility,"['<p id=""p-0008"" num=""0007"">According to a first aspect of the present invention, a medical puncture needle includes an end portion including a needle tip, and a main body portion contiguous with the end portion, having a substantially circular cross-sectional outer shape, and the end portion includes a bevel formed by a curved surface, having an angle gradually reduced relative to one imaginary plane including an axis of the main body portion, toward the needle tip in the axial direction, in a cross-section orthogonal to the axial direction.</p>', '<p id=""p-0009"" num=""0008"">According to an embodiment of the present invention, preferably, the bevel includes curved first and second bevels the first and second bevels having a cutting edge constituted by a ridge formed wherein the first and second bevels intersect, defining the needle tip as one end, and at least one of the first and second bevels has an angle gradually reduced relative to the imaginary plane in a cross-section orthogonal to the axis of the main body, toward the needle tip in the axial direction.</p>', '<p id=""p-0010"" num=""0009"">According to an embodiment of the present invention, preferably, the end portion includes an inclined surface contiguous with the first and second bevels and constituted by a flat surface inclined with respect to the axis, and the imaginary plane is a plane perpendicular to the inclined surface and including the axis.</p>', '<p id=""p-0011"" num=""0010"">According to an embodiment of the present invention, preferably, the needle tip is not positioned on the plane perpendicular to the inclined surface and including the axis.</p>', '<p id=""p-0012"" num=""0011"">According to an embodiment of the present invention, the puncture needle has a hollow portion defined to extend from the main body portion to the end portion, and in the end portion, the first and second bevels each have an inner edge defining an opening at one end of the hollow portion in the axial direction.</p>', '<p id=""p-0013"" num=""0012"">According to an embodiment of the present invention, the angle preferably has a constant change rate per unit length in the axial direction.</p>', '<p id=""p-0014"" num=""0013"">According to a second aspect of the present invention, a method of manufacturing a medical puncture needle includes forming a bevel at one end portion of a linear member by wire cutting, while rotating the linear member having a substantially circular cross-sectional outer shape about an axis of the linear member in one direction, and moving the linear member in one direction to be inclined by a predetermined angle relative to the axial direction of the linear member.</p>', '<p id=""p-0015"" num=""0014"">According to an embodiment of the present invention, when defining the bevel as a first bevel, a second bevel and a cutting edge are preferably formed by wire cutting, while rotating the linear member about the axis in a direction opposite to the one direction and moving the linear member in the one direction inclined relative to the axial direction of the linear member by the predetermined angle or in a direction opposite to the one direction. The second bevel is formed at a position of the one end portion different from a position of the first bevel, and the cutting edge is constituted by a ridge formed where the first and second bevels inersect each other, having a needle tip.</p>']"
6,US10201781B2,CO2 recovery device and CO2 recovery method,utility,"['<p id=""p-0011"" num=""0010"">A first invention of the invention for solving the above problems is a CO<sub>2 </sub>recovery device including a CO<sub>2 </sub>absorption column that brings a CO<sub>2</sub>-containing flue gas containing CO<sub>2 </sub>into contact with a CO<sub>2 </sub>absorption liquid and removes CO<sub>2</sub>, and an absorption liquid regeneration column that regenerates the CO<sub>2 </sub>absorption liquid that has absorbed the CO<sub>2</sub>. A lean solution, from which CO<sub>2 </sub>has been removed in the absorption liquid regeneration column, being reused in the CO<sub>2 </sub>absorption column. The CO<sub>2 </sub>absorption column includes a CO<sub>2 </sub>absorption section that absorbs CO<sub>2 </sub>in the CO<sub>2</sub>-containing flue gas with the CO<sub>2 </sub>absorption liquid, a main rinse section that is provided on a gas flow downstream side of the CO<sub>2 </sub>absorption section, cools flue gas after CO<sub>2 </sub>removal with rinse water, and recovers an entrained CO<sub>2 </sub>absorbent with the rinse water, a rinse water circulation line that supplies and circulates the rinse water containing the CO<sub>2 </sub>absorbent recovered in a liquid storage section of the main rinse section from a top part side of the main rinse section, a pre-rinse section that is provided between the CO<sub>2 </sub>absorption section and the main rinse section, a rinse section extraction liquid supply line that extracts a portion of the rinse water containing the CO<sub>2 </sub>absorbent from the rinse water circulation line, is connected to a top part side of a reflux section, of the absorption liquid regeneration column, and introduces the portion of the rinse water into the reflux section, and a refluxed water supply line that extracts a portion of refluxed water from a side closer to a column bottom part than an introduction position of the reflux section, is connected to the pre-rinse section side, and introduces the portion of the refluxed water as pre-rinse water of the pre-rinse section.</p>', '<p id=""p-0012"" num=""0011"">A second invention is the CO<sub>2 </sub>recovery device based on the first invention in which the pre-rinse section includes a pre-rinse water circulation line that supplies and circulates pre-rinse water from a top part side of the pre-rinse section, the refluxed water supply line is connected to the pre-rinse water circulation line, and a portion of the refluxed water is introduced as the pre-rinse water.</p>', '<p id=""p-0013"" num=""0012"">A third invention is the CO<sub>2 </sub>recovery device based on the first or second, further including a deep rinse section that is provided on a gas flow downstream side of the main rinse section, and performs deep rinsing of the flue gas after CO<sub>2 </sub>removal after main rinsing with rinse water supplied from the outside.</p>', '<p id=""p-0014"" num=""0013"">A fourth invention is a CO<sub>2 </sub>recovery method of circulating and reusing a lean solution, from which CO<sub>2 </sub>has been removed in an absorption liquid regeneration column, in a CO<sub>2 </sub>absorption column, using the CO<sub>2 </sub>absorption column that brings a CO<sub>2</sub>-containing flue gas containing CO<sub>2 </sub>into contact with a CO<sub>2 </sub>absorption liquid and removes CO<sub>2</sub>; and an absorption liquid regeneration column that separates CO<sub>2 </sub>absorption liquid and regenerates the CO<sub>2 </sub>absorption liquid that has absorbed the CO<sub>2</sub>. The method includes pre-rinsing the CO<sub>2</sub>-removed flue gas is performed using pre-rinse water extracted from a portion of reflux section obtained by a portion of rinse water used for the main rinsing being extracted, introduced into a reflux section of the absorption liquid regeneration column, and mixed with high-temperature refluxed water in the reflux section when main rinsing of CO<sub>2</sub>-removed flue gas is performed with rinse water on a downstream side of the CO<sub>2 </sub>absorption column, and pre-rinsing of the CO<sub>2</sub>-removed flue gas after CO<sub>2 </sub>recovery is performed on an upstream side where the main rinsing is performed.</p>', '<p id=""p-0015"" num=""0014"">A fifth invention is the CO<sub>2 </sub>recovery method based on the fourth invention in which deep rinsing is performed with deep rinsing water supplied from the outside of a rinse section on a downstream side of the main rinse section.</p>']"
7,US10201791B2,Method for producing carbon particles by detonation,utility,"['<p id=""p-0009"" num=""0008"">The present inventors have found that in producing carbon particles containing diamond and graphite carbon by a detonation method using a low explosive raw material, when an explosive substance which is liquid at normal temperature and normal pressure is disposed in a periphery of the low explosive raw material and a detonation reaction is performed, carbon particles containing a lot of diamond are obtained, as compared with the conventional method described above, leading to accomplishment of the present invention.</p>', '<p id=""p-0010"" num=""0009"">In the present description, a high explosive means a material capable of performing the detonation reaction, and the low explosive raw material is included in the high explosive. In addition, the explosive substance means a substance capable of causing an abrupt combustion reaction. In general, the explosive substances are roughly classified into solid high explosives having no fluidity at normal temperature and normal pressure and liquid high explosives having fluidity at normal temperature and normal pressure. However, in the present description, the explosive substance means the liquid high explosive having fluidity at normal temperature and normal pressure unless otherwise indicated. In the present description, the normal temperature and normal pressure mean conditions of 25° C. and 1 atm.</p>', '<p id=""p-0011"" num=""0010"">The explosive substance causes detonation, whereby the raw material substance is decomposed to an atomic level, and carbon atoms liberated therefrom without being oxidized aggregate in a solid state to form diamond or graphite carbon. During the detonation, the raw material substance is in a high-temperature high-pressure state due to a decomposition reaction. However, it is immediately expanded and cooled. A process from this high-temperature high-pressure state to the reduced-pressure cooling is caused within a very short time as compared with usual combustion or deflagration that is an explosion phenomenon slower than the detonation, and therefore, there is no time when the aggregated carbon largely grows. Thus, the nano-scale carbon particles are formed.</p>', '<p id=""p-0012"" num=""0011"">That is, the present invention provides a production method of a carbon particle by a detonation method, including a step of disposing an explosive substance which is a liquid at normal temperature and normal pressure in a periphery of a raw material substance containing an aromatic compound having 3 or more nitro groups, and a step of subjecting the explosive substance to a detonation.</p>', '<p id=""p-0013"" num=""0012"">The raw material substance used in the production method of the present invention preferably contains at least one kind selected from the group consisting of trinitrotoluene, cyclotrimethylenetrinitramine, cyclotetramethylenetetranitramine, pentaerythritol tetranitrate, and trinitrophenylmethylnitramine, as the aromatic compound having 3 or more nitro groups.</p>', '<p id=""p-0014"" num=""0013"">Further, the explosive substance is a liquid high explosive having fluidity at normal temperature and normal pressure. The explosive substance preferably contains at least one kind selected from the group consisting of a mixture of hydrazine and hydrazine nitrate, a mixture of hydrazine and ammonium nitrate, nitromethane, and a mixture of hydrazine and nitromethane.</p>', '<p id=""p-0015"" num=""0014"">In the production method of the present invention, it is preferred to perform the detonation in a state where the raw material substance and the explosive substance are charged in a chamber, and/or in a state where a coolant is disposed in a periphery of the raw material substance and the explosive substance in a chamber. Here, when an atmosphere in the chamber does not contain an oxygen gas, and/or when the coolant is a substance which does not substantially produce an oxidative substance such as oxygen or ozone, an oxidation reaction can be inhibited. Therefore, the proportion by mass ratio at which the carbon particles can be recovered from carbon in the raw material substance is improved, and consequently, the proportion by mass ratio at which diamond can be recovered from carbon in the raw material substance is improved. In the present description, the proportion by mass ratio at which the carbon particles can be recovered from carbon in the raw material substance is referred to as the “yield of carbon particles” that is the mass ratio of the carbon particles to the raw material substance. Further, the proportion by mass ratio at which diamond can be recovered from carbon in the raw material substance is referred to as the “yield of diamond” that is the mass ratio of diamond to the raw material substance.</p>', '<p id=""p-0016"" num=""0015"">The production method of the present invention may further include a step of recovering the carbon particle from a residue obtained in the detonation step. In the recovery step, for example, when a classification/purification treatment is performed, the carbon particles can be obtained in a form of powder having a desired particle diameter. Two or more of the respective preferred embodiments described above may be arbitrarily combined.</p>']"
8,US10201805B2,Exhaust gas purification apparatus,utility,"['<p id=""p-0011"" num=""0010"">The exhaust gas purification apparatus according to the present invention is disposed in an exhaust passage of an internal combustion engine and purifies an exhaust gas discharged from the internal combustion engine. This apparatus is provided with: a substrate having a wall-flow structure and including an entry-side cell in which only an exhaust gas inflow-side end part is open, an exit-side cell residing adjacent to an entry-side cell and in which only an exhaust gas outflow-side end part is open, and a porous partition that divides the entry-side cell from the exit-side cell; a first catalyst region formed in small pores having relatively small pore diameters among internal pores in the partition; and a second catalyst region formed in large pores having relatively large pore diameters among the internal pores in the partition. The first catalyst region contains a support and any one or two species of precious metal selected from platinum (Pt), palladium (Pd), and rhodium (Rh) loaded on the support. The second catalyst region contains a support and any one or two species of precious metal selected from Pt, Pd, and Rh loaded on the support and other than at least the precious metal present in the first catalyst region.</p>', '<p id=""p-0012"" num=""0011"">Sintering (alloying) between the plurality of precious metal species is effectively suppressed with this exhaust gas purification apparatus because the plurality of precious metal species are supported separately in the small pores (first catalyst region) and large pores (second catalyst region) of the partition. Due to this, catalyst deterioration is inhibited even when exposure to high temperatures occurs. In addition, because both the first catalyst region and the second catalyst region are disposed in the interior of the partition, the increase in flow path resistance that occurs when a catalyst region is formed on the surface of the partition is avoided and the pressure loss can then be reduced. Moreover, the exhaust gas is efficiently contacted with the precious metal in a plurality of reaction fields because a plurality of precious metal species are present within the partition in a randomly dispersed state along the flow direction of the exhaust gas. A higher purification performance can be achieved as a result. The present invention can thus provide an exhaust gas purification apparatus that has a markedly improved exhaust gas purification performance while supporting a reduction in pressure losses.</p>', '<p id=""p-0013"" num=""0012"">In a preferred aspect of the herein disclosed exhaust gas purification apparatus, the average pore diameter of the small pores in which the first catalyst region is formed is not more than 10 μm and the average pore diameter of the large pores in which the second catalyst region is formed is greater than 10 μm and not more than 100 μm. The exhaust gas passing through the interior of the partition can be more efficiently purified by having the plurality of precious metal species be separately supported in small pores and large pores having the indicated pore diameters.</p>', '<p id=""p-0014"" num=""0013"">In a preferred aspect of the herein disclosed exhaust gas purification apparatus, the first catalyst region contains Pt as the precious metal and the second catalyst region contains Rh as the precious metal. This construction makes it possible to efficiently purify the harmful components in the exhaust gas all at once and thereby brings about an additional improvement in the exhaust gas purification performance.</p>', '<p id=""p-0015"" num=""0014"">In a preferred aspect of the herein disclosed exhaust gas purification catalyst, the Pt content in the first catalyst region is 0.3 g to 1 g per 1 L of substrate volume and the Rh content in the second catalyst region is 0.1 g to 0.5 g per 1 L of substrate volume. The ratio between the Pt disposed in the small pores and the Rh disposed in the large pores is brought into a favorable balance with this configuration, and because of this an even more efficient purification of the harmful components in the exhaust gas can be achieved.</p>', '<p id=""p-0016"" num=""0015"">In a preferred aspect of the herein disclosed exhaust gas purification apparatus, the first catalyst region contains an NOx absorber that has an NOx storage capacity (for example, a barium compound). The incorporation of an NOx absorber in such a first catalyst region makes it possible to achieve an efficient purification of the NOx present in the exhaust gas. Because, in this case, the NOx absorber is disposed within the partition in a randomly dispersed state along the exhaust gas flow direction, the NOx in the exhaust gas passing through the interior of the partition can be favorably absorbed and released. A higher purification performance can be achieved as a consequence.</p>', '<p id=""p-0017"" num=""0016"">In a preferred aspect of the herein disclosed exhaust gas purification apparatus, the second catalyst region contains an OSC material that has an oxygen storage capacity (for example, CeO<sub>2 </sub>or CeO<sub>2</sub>—ZrO<sub>2 </sub>composite oxide). Through the incorporation of an OSC material in such a second catalyst region, a stable catalytic performance is obtained and the purification performance of the catalyst is improved. Because, in this case, the OSC material is disposed within the partition in a randomly dispersed state along the exhaust gas flow direction, the oxygen in the exhaust gas passing through the interior of the partition can be favorably absorbed and released. The purification performance of the catalyst is increased further as a consequence.</p>', '<p id=""p-0018"" num=""0017"">In a preferred embodiment of the herein disclosed exhaust gas purification apparatus, the internal combustion engine is a gasoline engine. The exhaust gas temperature is relatively high and PM deposition within the partition is impeded in gasoline engines. As a consequence, the effects indicated above are more effectively exhibited when the internal combustion engine is a gasoline engine.</p>']"
9,US10201808B2,Method for preventing a photocatalyst from decreasing in hydrophilicity,utility,"['<p id=""p-0007"" num=""0006"">The present inventors conducted research about various resins having a long-term effect of preventing the bleeding of the plasticized component contained in the sealant or the like, and found out that a modified epoxy resin prepared by graft polymerizing or copolymerizing a polymerizable unsaturated monomer with an epoxy resin has a high bleeding preventing effect. Thus, the present invention has been completed.</p>', '<p id=""p-0008"" num=""0007"">Namely, the present invention is a method for preventing a photocatalyst from decreasing in hydrophilicity comprising the step of forming a transparent preventing layer on a surface of a sealant which fixes (seals) an article, the article has the photocatalyst layer formed on at least a part of a surface of the article, and the transparent preventing layer comprises a modified epoxy resin prepared by graft polymerizing or copolymerizing a polymerizable unsaturated monomer with an epoxy resin and prevents a sealant component from bleeding out from the sealant.</p>', '<p id=""p-0009"" num=""0008"">Moreover, the present invention is a method for treating an article comprising the steps of forming a photocatalyst layer on at least a part of a surface of the article fixed (sealed) by a sealant, and forming a preventing layer on a surface of the sealant, the preventing layer prevents a sealant component from bleeding out from the sealant. Particularly, the present invention is a method for treating a glass structure comprising a gap between a glass and a frame which is filled with a sealant comprising the steps of forming a photocatalyst layer on at least a part of a surface of the glass, and forming a preventing layer on a surface of the sealant, the preventing layer prevents a sealant component from bleeding out from the sealant.</p>', '<p id=""p-0010"" num=""0009"">Moreover, the present invention is an article comprising a photocatalyst layer on at least a part of a surface of the article, a sealant which fixes (seals) the article, and a transparent preventing layer on a surface of the sealant, the preventing layer prevents a sealant component from bleeding out from the sealant, and particularly a glass structure comprising a gap between a glass and a frame which is filled with a sealant, the glass structure further comprises a photocatalyst layer on at least a part of a surface of the article, and a transparent preventing layer on a surface of the sealant, the preventing layer prevents a sealant component from bleeding out from the sealant.</p>', '<p id=""p-0011"" num=""0010"">Further, the present invention is a transparent composition for preventing a photocatalyst from decreasing in hydrophilicity comprising a modified epoxy resin prepared by graft polymerizing or copolymerizing a polymerizable unsaturated monomer with an epoxy resin.</p>']"
