,publication_number,patent_title,appl_type,neutral_text
0,USRE047199E1,"Non-contact charging module, electronic apparatus, and non-contact charging apparatus",reissue,"['<p id=""p-0013"" num=""0013"">A non-contact charging module according to an aspect of the present invention is configured to be positioned with another non-contact charging module using a circular magnet or without using the circular magnet for positioning, the circular magnet being provided at the other non-contact charging module, the non-contact charging module including: a planar coil portion including a conductive wire wound in a substantially rectangular shape; and a magnetic sheet provided with a surface on which the planar coil portion is placed, in which the planar coil portion includes a substantially rectangular hollow portion that has a short side shorter than a diameter of the circular magnet and a long side longer than the diameter of the circular magnet.</p>']"
1,US10172307B2,"Plant-adventitious-embryo induction method, plant restoration method, and plant reproduction method",utility,"['<p id=""p-0013"" num=""0012"">The inventors of the present invention conducted intensive studies and thereby found that by inducing adventitious embryos from calli, shoots can then be stably formed and the formed shoots can be elongated and rooted. In other words, the inventors found that by inducing adventitious embryos from calli, it is possible to stably regenerate plants from the calli and to stably reproduce the plants, and thus completed the present invention. Specifically, the present invention relates to a method of regenerating a plant, including a step of inducing adventitious embryos from calli.</p>', '<p id=""p-0014"" num=""0013"">In the regeneration method, the adventitious embryo induction is preferably followed by forming shoots.</p>', '<p id=""p-0015"" num=""0014"">The regeneration method preferably includes a regeneration induction step of culturing the calli in a regeneration induction medium that contains a plant growth hormone and a carbon source to form the adventitious embryos and shoots; and a rooting step of culturing the shoots in a rooting medium to root the shoots.</p>', '<p id=""p-0016"" num=""0015"">The regeneration method preferably includes a regeneration induction step of culturing the calli in a regeneration induction medium that contains a plant growth hormone and a carbon source to form the adventitious embryos and shoots; an elongation step of culturing the formed shoots in an elongation medium to elongate the shoots; and a rooting step of culturing the elongated shoots in a rooting medium to root the shoots.</p>', '<p id=""p-0017"" num=""0016"">In a preferred embodiment of the regeneration method, particularly in the case of using a plant of the family Asteraceae (preferably a plant of the genus <i>Sonchus</i>, and especially <i>Sonchus oleraceus</i>), the elongation medium and the rooting medium are free of plant growth hormones.</p>', '<p id=""p-0018"" num=""0017"">In the regeneration method, the plant is preferably an isoprenoid-producing plant, more preferably a plant of the family Asteraceae or the family Euphorbiaceae, still more preferably a plant of the genus <i>Sonchus </i>or the genus <i>Hevea</i>, and particularly preferably <i>Sonchus oleraceus </i>or <i>Hevea brasiliensis. </i></p>', '<p id=""p-0019"" num=""0018"">The present invention relates to a method of reproducing a plant, including a step of inducing adventitious embryos from calli.</p>', '<p id=""p-0020"" num=""0019"">The reproduction method preferably includes a step of inducing the calli from tissue sections of the plant.</p>', '<p id=""p-0021"" num=""0020"">In the reproduction method, the adventitious embryo induction is preferably followed by forming shoots.</p>', '<p id=""p-0022"" num=""0021"">The reproduction method preferably includes an induction step of culturing tissue sections of the plant in an induction medium that contains a plant growth hormone and a carbon source to induce the calli; a regeneration induction step of culturing the calli in a regeneration induction medium that contains a plant growth hormone and a carbon source to form the adventitious embryos and shoots; and a rooting step of culturing the shoots in a rooting medium to root the shoots.</p>', '<p id=""p-0023"" num=""0022"">The reproduction method preferably includes an induction step of culturing tissue sections of the plant in an induction medium that contains a plant growth hormone and a carbon source to induce the calli; a regeneration induction step of culturing the calli in a regeneration induction medium that contains a plant growth hormone and a carbon source to form the adventitious embryos and shoots; an elongation step of culturing the formed shoots in an elongation medium to elongate the shoots; and a rooting step of culturing the elongated shoots in a rooting medium to root the shoots.</p>', '<p id=""p-0024"" num=""0023"">In a preferred embodiment of the reproduction method, particularly in the case of using a plant of the family Asteraceae (preferably a plant of the genus <i>Sonchus</i>, and especially <i>Sonchus oleraceus</i>), the elongation medium and the rooting medium are free of plant growth hormones.</p>', '<p id=""p-0025"" num=""0024"">In the reproduction method, the plant is preferably an isoprenoid-producing plant, more preferably a plant of the family Asteraceae or the family Euphorbiaceae, still more preferably a plant of the genus <i>Sonchus </i>or the genus <i>Hevea</i>, and particularly preferably <i>Sonchus oleraceus </i>or <i>Hevea brasiliensis. </i></p>', '<p id=""p-0026"" num=""0025"">The present invention relates to a method of inducing adventitious embryos, including culturing calli in a medium that contains a plant growth hormone and a carbon source to induce the adventitious embryos.</p>', '<p id=""p-0027"" num=""0026"">In the method of inducing adventitious embryos, preferably, the medium has a solidifying agent concentration of 0.1 to 2% by mass, an auxin plant hormone concentration of 1×10<sup>−3 </sup>to 15 mg/L, a cytokinin plant hormone concentration of 1×10<sup>−3 </sup>to 15 mg/L, and a sucrose concentration of 1 to 5% by mass, and a culture temperature is 0° C. to 40° C.</p>']"
2,US10172357B2,Fungicidal composition and method for controlling plant diseases,utility,"['<p id=""p-0013"" num=""0013"">The present inventor has conducted extensive studies to achieve the above object and as a result, found that by combining pyrofenone, fluazinam and thiophanate-methyl, excellent fungicidal effects can be obtained, which are unexpected from a case where the active ingredients of the present invention are used individually or in combination of two of them, and accomplished the present invention.</p>', '<p id=""p-0014"" num=""0014"">That is, the present invention provides a fungicidal composition comprising, as active ingredients, pyriofenone, fluazinam and thiophanate-methyl, a method for controlling plant diseases, which comprises applying the composition to plants and/or to a soil in which they grow, and a seed coated with the composition.</p>']"
3,US10172374B2,Dried composition and food product containing the same,utility,"['<p id=""p-0022"" num=""0025"">As a result of intensive and extensive studies to solve the above-described problems, the present inventor has found the following and completed the present invention. The present inventor produces a dried product that mainly contains a pectized constituent. The pectized constituent is formed by adjusting a weight ratio of agar to a specific alginate and adjusting respective contents and ratios of monovalent cation and divalent cation contained in the alginate. This allows providing the heat resistance and the restorability (imbibition) by which the dried product with various shapes is less likely to melt even being boiled.</p>', '<p id=""p-0023"" num=""0026"">That is, the present invention is a dried composition comprising: agar and alginate at a weight ratio of 1:1 to 1:20, wherein the alginate contains a salt of a monovalent cation and a salt of a divalent cation, the divalent cation is 0.04 to 0.30 mol per mol and further the monovalent cation is 0.10 to 0.70 mol per mol with respect to a monomeric unit of the alginate, a mol ratio of the divalent cation to the monovalent cation is 1.0:0.35 to 1.0:8.70, and the dried composition absorbs water and swells in distilled water at 20° C. and distilled water at 90° C., and in both the cases the dried composition becomes a gel having a weight of 15 to 100 times of the dried composition.</p>', '<p id=""p-0024"" num=""0027"">The present invention also relates to the food product, wherein the dried composition is contained: as a daily dish of any of equal to or more than one of a noodle-shaped food product, a soup main ingredient, a hot-pot dish ingredient, a stir-fried food, a deep-fried food, a steamed food, a boiled food, and a marinated food; and as a food material of any of equal to or more than one of a salad, a pickle, a dessert material, a beverage, a frozen dessert, a jam, a fruit sauce, a fish egg imitation, a sarcocarp imitation, a wrap of a spring roll, a wrap of a shaomai, and a dietary fiber-enriched food.</p>']"
4,US10172377B2,"Pet food for dogs, method for manufacture of pet food for dogs, and method for feeding of pet food for dogs",utility,"['<p id=""p-0011"" num=""0010"">According to a first aspect of the invention, there is provided a Pet food for dogs, in which the pet food is gel type pet food, the moisture content is 50% by weight or greater, the viscosity measured by a rotational viscometer is in a range of 30 dPa·s to 70 dPa·S, the viscosity measured by a Bostwick viscometer is in a range of 0.1 cm/min to 5.0 cm/min, the pet food containing at least one gelling agent and at least one thickener.</p>', '<p id=""p-0012"" num=""0011"">According to a second aspect of the invention, in the pet food for dogs according to the first aspect, the gelling agent is at least one selected from the group consisting of locust bean gum, carrageenan, agar, gellan gum, pectin, and alginic acid, and the thickener is at least one selected from the group consisting of xanthan gum, guar gum, starch, gum Arabic, and tara gum.</p>', '<p id=""p-0013"" num=""0012"">According to a third aspect of the present invention, in the pet food for dogs according to the first or second aspect, the ratio of fractions which do not pass through a sieve having a mesh of 10 mm is in a range of 70% by weight to 95% by weight.</p>', '<p id=""p-0014"" num=""0013"">According to a fourth aspect of the present invention, in the pet food for dogs according to any one of the first to third aspects, the ratio of fractions which do not pass through a sieve having a mesh of 4 mm is in a range of 75% by weight to 99% by weight.</p>', '<p id=""p-0015"" num=""0014"">According to a fifth aspect of the present invention, the pet food for dogs according to any one of the first to fourth aspects contains flakes derived from at least one raw material selected from a group consisting of cattle, chicken, sheep, pigs, tuna, bonito, sardines, barracuda, sea bream, flounder, mackerel, and horse mackerel, and the major axis of the flakes is 15 mm or less.</p>', '<p id=""p-0016"" num=""0015"">According to a sixth aspect of the present invention, the pet food for dogs according to any one of the first to fifth aspects contains at least two ingredients selected from a group consisting of seafood, meat, vegetables, grains, mushrooms, eggs, and milk.</p>', '<p id=""p-0017"" num=""0016"">According to a seventh aspect of the present invention, in the pet food for dogs according to any one of the first to sixth aspects, the ratio of the ingredients is 60% by weight or less.</p>', '<p id=""p-0018"" num=""0017"">According to an eighth aspect of the present invention, there is provided a method of producing the pet food for dogs according to any one of the first to seventh aspects including: a process of adjusting the size of ingredients which contain flakes; a process of mixing the ingredients whose size is adjusted with raw materials of a soup portion to obtain a mixture of the ingredients and the raw materials of the soup portion; a process of filling a pouch container with the mixture of the ingredients and the raw materials of the soup portion; and a process of retort-sterilizing the pouch container.</p>', '<p id=""p-0019"" num=""0018"">According to a ninth aspect of the present invention, there is provided a method of feeding of pet food for dogs including feeding a dog by mixing the pet food for dogs according to any one of the first to seventh aspects with dry type pet food.</p>']"
5,US10172383B2,Drying device and cigarette wrapping paper manufacturing machine using the drying device,utility,"['<p id=""p-0007"" num=""0006"">According to the present invention, there is provided a drying device comprising: a travel path along which a web of paper applied with a coating liquid travels; a plurality of drying ovens arranged side by side along the travel path to dry the web applied with the coating liquid; a plurality of conveyor rolls provided in each of the drying ovens to convey the web along the travel path; a plurality of roll units each constituted by one or more of the conveyor rolls and separated from each other along the travel path; and a plurality of conveyor motors connected to the respective roll units to rotate the conveyor rolls, wherein a downstream one of the roll units with respect to the travel path is rotated at a lower rotating speed than an upstream one of the roll units.</p>', '<p id=""p-0008"" num=""0007"">Preferably, the coating liquid is a combustion inhibitor and is applied to a plurality of portions of the web such that the combustion inhibitor-applied portions are regularly spaced in a longitudinal direction of the web and each extend in a width direction of the web.</p>', '<p id=""p-0009"" num=""0008"">Preferably, one of the roll units is associated with one of the drying ovens.</p>', '<p id=""p-0010"" num=""0009"">Preferably, one of the roll units is associated with two or more of the drying ovens.</p>', '<p id=""p-0011"" num=""0010"">Preferably, the roll units include a first block located in an upstream section of the travel path and a second block located downstream of the first block, and the rotating speed of the conveyor rolls of the second block is 97.0% to 99.5% of the rotating speed of the conveyor rolls of the first block.</p>', '<p id=""p-0012"" num=""0011"">According to the present invention, there is also provided a cigarette wrapping paper manufacturing machine using the drying device of claim <b>1</b>, comprising: a supply reel arranged at a starting end of the travel path and configured to supply the web; an applicator device arranged between the supply reel and the drying device and configured to apply the combustion inhibitor which restricts burning of the web; a wrinkle smoothing device arranged downstream of the drying device and configured to smooth out wrinkles in the web; and a take-up reel arranged at a terminating end of the travel path and configured to wind the web thereon.</p>']"
6,US10172431B2,Pen and Pen Refill,utility,"['<p id=""p-0019"" num=""0018"">The pen according to the present invention includes: an ink reservoir configured to store an ink; a pen tip having a proximal end and a distal end opposite to the proximal end, the pen tip being configured to apply an ink to an ink coating target; an ink guide configured to guide the ink in the ink reservoir toward the pen tip; and a holder part having a through hole through which the pen tip is inserted, the holder part being configured to hold at least the proximal end of the pen tip while exposing the distal end of the pen tip in the state where the pen tip is inserted through the through hole, wherein the holder part includes: an ink holding part capable of holding the ink from the ink guide and formed at least partially around a circumference of the through hole; and a first opening opening on an inner circumferential surface that defines the through hole and communicating with the ink holding part.</p>', '<p id=""p-0020"" num=""0019"">As an aspect of the pen according to the present invention, it is preferable that the ink holding part be formed into a slit shape.</p>', '<p id=""p-0021"" num=""0020"">As another aspect of the pen according to the present invention, it is preferable that the first opening be formed into a slit shape.</p>', '<p id=""p-0022"" num=""0021"">As still another aspect of the pen according to the present invention, it is preferable that a plurality of ink holding parts as described above be formed around the circumference of the through hole, and a plurality of first openings as described above be formed around the circumference of the through hole, corresponding to the plurality of ink holding parts.</p>', '<p id=""p-0023"" num=""0022"">As still another aspect of the pen according to the present invention, it is preferable that the holder part further include: a distal end face from which the distal end of the pen tip extends; an annular surface formed around the circumference of the through hole and facing opposite to the distal end face; and a second opening opening on the annular surface and communicating with the ink holding part.</p>', '<p id=""p-0024"" num=""0023"">In this case, it is preferable that the second opening be formed into a slit shape.</p>', '<p id=""p-0025"" num=""0024"">Further, the configuration may be such that the ink guide is formed into a rod shape having one end connected to the ink reservoir and the other end opposite to the one end, and the other end is formed to overlap the second opening.</p>', '<p id=""p-0026"" num=""0025"">In this case, the configuration may be such that the other end of the ink guide has at least two or more divided portions divided with respect to its axial center, and the two or more divided portions are formed to extend in a direction intersecting its axial center and overlap the second opening.</p>', '<p id=""p-0027"" num=""0026"">A pen refill according to the present invention includes: an ink reservoir configured to store an ink and housed in a barrel shaft constituting the exterior of a pen; a pen tip having a proximal end and a distal end opposite to the proximal end, the pen tip being configured to apply an ink to an ink coating target by being exposed from the barrel shaft; an ink guide configured to guide the ink in the ink reservoir toward the pen tip; and a holder part having a through hole through which the pen tip is inserted, the holder part being configured to hold at least the proximal end of the pen tip while exposing the distal end of the pen tip in the state where the pen tip is inserted through the through hole, wherein the holder part includes: an ink holding part capable of holding the ink from the ink guide and formed at least partially around a circumference of the through hole; and a first opening opening on an inner circumferential surface that defines the through hole and communicating with the ink holding part.</p>', '<p id=""p-0028"" num=""0027"">As an aspect of the pen refill according to the present invention, it is preferable that the ink holding part be formed into a slit shape.</p>', '<p id=""p-0029"" num=""0028"">As another aspect of the pen refill according to the present invention, it is preferable that the first opening be formed into a slit shape.</p>', '<p id=""p-0030"" num=""0029"">As still another aspect of the pen refill according to the present invention, it is preferable that a plurality of ink holding parts as described above be formed around the circumference of the through hole, and a plurality of first openings as described above be formed around the circumference of the through hole, corresponding to the plurality of ink holding parts.</p>', '<p id=""p-0031"" num=""0030"">As still another aspect of the pen refill according to the present invention, it is preferable that the holder part further include: a distal end face from which the distal end of the pen tip extends; an annular surface formed around the circumference of the through hole and facing opposite to the distal end face; and a second opening opening on the annular surface and communicating with the ink holding part.</p>', '<p id=""p-0032"" num=""0031"">In this case, it is preferable that the second opening be formed into a slit shape.</p>', '<p id=""p-0033"" num=""0032"">Further, the configuration may be such that the ink guide is formed into a rod shape having one end connected to the ink reservoir and the other end opposite to the one end, and the other end is formed to overlap the second opening.</p>', '<p id=""p-0034"" num=""0033"">In this case, the configuration may be such that the other end of the ink guide has at least two or more divided portions divided with respect to its axial center, and the two or more divided portions are formed to extend in a direction intersecting its axial center and overlap the second opening.</p>']"
7,US10172546B2,"Sensor, network system and controlling method for using the same",utility,"['<p id=""p-0009"" num=""0008"">According to the embodiment, there is provided a sensor including a cardiac impulse sensor for sensing a cardiac impulse of a human body spaced apart from the cardiac impulse sensor to generate an output signal, and a wireless processing unit for processing and outputting an operation signal of an electronic device according to an output signal of the cardiac impulse sensor.</p>', '<p id=""p-0010"" num=""0009"">Meanwhile according to the embodiment, there is provided a network system including at least one electronic device, and a sensor module comprising a cardiac impulse sensor for generating an output signal by sensing a cardiac impulse of a human body spaced apart from the sensor module, the sensor module for transmitting an operation signal of the electronic device according to the output signal.</p>', '<p id=""p-0011"" num=""0010"">According to the embodiment, there is provided a method of controlling an electronic device. The method includes periodically sensing a cardiac impulse of a human body, generating an operation signal of the electronic device according to the sensed cardiac impulse, and outputting the operation signal.</p>']"
8,US10172579B2,X-ray imaging system,utility,"['<p id=""p-0008"" num=""0007"">In accordance with aspect of an exemplary embodiment, an x-ray imaging system includes an imaging apparatus configured to generate x-rays and image a subject by radiating the x-rays, an x-ray detection apparatus configured to detect the x-rays by receiving the x-rays radiated by the imaging apparatus, a table on which the subject is positioned, an accommodation frame provided on at least one portion of the table wherein the x-ray detection apparatus is accommodated in the accommodation frame, and a rail unit coupled to an inner side of the accommodation frame configured to at least one of withdraw the x-ray detection apparatus into the accommodation frame and accommodate the x-ray detection apparatus in the accommodation frame, wherein the rail unit comprises a first rail member positioned at an outer side, a second rail member positioned at an inner side of the first rail member, a third rail member positioned in between the first rail member and the second rail member, and a coupling member configured to couple the third rail member to the first rail member.</p>', '<p id=""p-0009"" num=""0008"">The coupling member may include a magnetic member, and may be configured to couple the first rail member to the third rail member via a magnetic force.</p>', '<p id=""p-0010"" num=""0009"">The coupling member may be coupled to the third rail member.</p>', '<p id=""p-0011"" num=""0010"">The coupling member may further include a bracket configured to couple the magnetic member to at least one portion of the third rail member.</p>', '<p id=""p-0012"" num=""0011"">The bracket may include a first bracket which is coupled to an upper surface of the third rail member and a second bracket which is coupled to a lower surface of the third rail member.</p>', '<p id=""p-0013"" num=""0012"">The coupling member may include a first coupling member configured to couple the magnetic member to the first bracket, a second coupling member configured to couple the first bracket to the third rail member, and a third coupling member configured to couple the first bracket to the second bracket.</p>', '<p id=""p-0014"" num=""0013"">The coupling member may include an elastic member to couple the first rail member to the third rail member via an elastic restoring force.</p>', '<p id=""p-0015"" num=""0014"">The first rail member may move from the second rail member in a sliding manner, and the third rail member may move from the first rail member in a sliding manner.</p>', '<p id=""p-0016"" num=""0015"">The rail unit may be coupled to a lower surface of the accommodation frame.</p>', '<p id=""p-0017"" num=""0016"">The rail unit may be located in parallel with the accommodation frame.</p>']"
9,US10172584B2,"Method for generating approximate function of total MTF of X-ray image, based on conditions for imaging with X-ray",utility,"['<p id=""p-0016"" num=""0015"">A method for generating an approximate function of a total modulation transfer function (MTF) of an x-ray image of an object, based on conditions for imaging with an x-ray emitted by an x-ray tube, the total MTF indicating a resolution characteristic of the x-ray image, the x-ray image being obtained by imaging the object which is a predetermined part of a human body with a motion, the method comprising:</p>', '<p id=""p-0017"" num=""0016"">an obtaining step of obtaining imaging condition combinations for the x-ray and conditions for the human body at a time of imaging, the imaging condition combinations including a magnification ratio obtained by dividing a distance between an x-ray tube focal plane and an x-ray detector system plane by a distance between the x-ray tube focal plane and an object plane, an x-ray tube nominal focal spot value, a tube voltage, a tube current, imaging time, and a kind of an x-ray detector system, the conditions for the human body including a kind of the object, a state of the object, a maximum amount of motion of the human body, and time required for an amount of motion of the human body to reach the maximum amount of motion of the human body;</p>', '<p id=""p-0018"" num=""0017"">a first generating step of (i) generating an approximate function of an MTF based on an x-ray tube effective focal spot value on the x-ray tube focal plane by checking an imaging condition combination of the x-ray tube nominal focal spot value, the tube voltage, and the tube current among the imaging condition combinations obtained in the obtaining step, against a predefined first correspondence relation between the imaging condition combination of the x-ray tube nominal focal spot value, the tube voltage, and the tube current and values in the approximate function of the MTF based on the x-ray tube effective focal spot value on the x-ray tube focal plane, and (ii) converting, using the magnification ratio, the approximate function generated into an approximate function of an MTF based on the x-ray tube effective focal spot value on the object plane;</p>', '<p id=""p-0019"" num=""0018"">a second generating step of (i) generating an approximate function of an MTF based on the kind of an x-ray detector system on the x-ray detector system plane by checking the kind of the x-ray detector system among the imaging condition combinations obtained in the obtaining step, against a predefined second correspondence relation between the kind of the x-ray detector system and values in the approximate function of the MTF based on the kind of the x-ray detector system on the x-ray detector system plane, and (ii) converting, using the magnification ratio, the approximate function generated into an approximate function of an MTF based on the kind of the x-ray detector system on the object plane;</p>', '<p id=""p-0020"" num=""0019"">a third generating step of generating an approximate function of an MTF based on an amount of motion of the object, the amount of motion of the object being determined by: (a) a maximum amount of motion made by an organ in the object, (b) time required for an amount of motion made by the organ in the object to reach the maximum amount of motion made by the organ in the object, (c) the imaging time, (d) the maximum amount of motion of the human body, and (e) the time required for the amount of motion of the human body to reach the maximum amount of motion of the human body, (a) the maximum amount of motion made by an organ in the object and (b) the time required for an amount of motion made by the organ in the object to reach the maximum amount of motion made by the organ in the object being obtained by checking the kind of the object and the state of the object obtained in the obtaining step against a predefined third correspondence relation between (i) the kind of the object and the state of the object and (ii) the maximum amount of motion made by the organ in the object and the time required for the amount of motion made by the organ in the object to reach the maximum amount of motion made by the organ in the object; and</p>', '<p id=""p-0021"" num=""0020"">a fourth generating step of generating an approximate function of a total MTF by multiplying the approximate function of the MTF based on the x-ray tube effective focal spot value on the object plane, the approximate function of the MTF based on the kind of the x-ray detector system on the object plane, and the approximate function based on the amount of motion of the object on the object plane,</p>', '<p id=""p-0022"" num=""0021"">wherein values in the approximate function of the MTF based on the x-ray tube effective focal spot value on the x-ray tube focal plane in the first correspondence relation are values predetermined for each imaging condition combination of the x-ray tube nominal focal spot value, the tube voltage, and the tube current, so that a function which indicates the MTF based on the x-ray tube effective focal spot value on the x-ray tube focal plane approximates to a measured MTF based on the x-ray tube effective focal spot value for each imaging condition combination of the x-ray tube nominal focal spot value, the tube voltage, and the tube current on the x-ray tube focal plane in a spatial frequency domain on the x-ray tube focal plane calculated by setting the magnification ratio to be a value within a predetermined range and setting a spatial frequency domain which has a spatial frequency on the object plane to be a predetermined spatial frequency domain,</p>', '<p id=""p-0023"" num=""0022"">values in the approximate function of the MTF based on the kind of the x-ray detector system on the x-ray detector system plane in the second correspondence relation are values predetermined for each kind of the x-ray detector system, so that a function which indicates the MTF based on the kind of the x-ray detector system on the x-ray detector system plane approximates to a measured MTF for each kind of the x-ray detector system on the x-ray detector system plane in a spatial frequency domain on the x-ray detector system plane calculated by setting the magnification ratio to be a value within a predetermined range and setting a spatial frequency domain which has a spatial frequency on the object plane to be a predetermined spatial frequency domain, and</p>', '<p id=""p-0024"" num=""0023"">the amount of motion of the object is:</p>', '<p id=""p-0025"" num=""0024"">an amount of motion expressed as a product of the imaging time and a sum of an amount of motion of the human body per second and an amount of motion made by the organ per second when time required for the amount of motion of the human body to reach a maximum amount of motion of the human body is longer than the imaging time and time required for the amount of motion made by the organ to reach a maximum amount of motion made by the organ is longer than the imaging time;</p>', '<p id=""p-0026"" num=""0025"">an amount of motion expressed as a sum of (i) a product of the imaging time and an amount of motion of the human body per second and (ii) a maximum amount of motion made by the organ when time required for the amount of motion of the human body to reach a maximum amount of motion of the human body is longer than the imaging time and time required for the amount of motion made by the organ to reach a maximum amount of motion made by the organ is shorter than the imaging time;</p>', '<p id=""p-0027"" num=""0026"">an amount of motion expressed as a sum of (i) a maximum amount of motion of the human body and (ii) a product of the imaging time and an amount of motion made by the organ per second when time required for the amount of motion of the human body to reach a maximum amount of motion of the human body is shorter than the imaging time and time required for the amount of motion made by the organ to reach a maximum amount of motion made by the organ is longer than the imaging time; and</p>', '<p id=""p-0028"" num=""0027"">an amount of motion expressed as a sum of a maximum amount of motion of the human body and a maximum amount of motion made by the organ when time required for the amount of motion of the human body to reach a maximum amount of motion of the human body is shorter than the imaging time and time required for the amount of motion made by the organ to reach a maximum amount of motion made by the organ is shorter than the imaging time.</p>']"
