,publication_number,patent_title,appl_type,negative_text
0,USRE047199E1,"Non-contact charging module, electronic apparatus, and non-contact charging apparatus",reissue,"['<p id=""p-0006"" num=""0006"">Such types of non-contact charging modules require to position a primary side non-contact charging module (transmission side non-contact charging module) and a secondary side non-contact charging module (reception side non-contact charging module) accurately to efficiently cause electromagnetic induction for power transmission.</p>', '<p id=""p-0007"" num=""0007"">In order to position the primary side non-contact charging module (transmission side non-contact charging module) and the secondary side non-contact charging module (reception side non-contact charging module) accurately, one method is to use a magnet, an example of which is a method shown in <figref idref=""DRAWINGS"">FIG. 11</figref>. <figref idref=""DRAWINGS"">FIG. 11</figref> illustrates a non-contact charging module (for example, a secondary side non-contact charging module) brought into position by a magnet provided at the other non-contact charging module (for example, a primary side non-contact charging module). In this method, the primary side non-contact charging module and the secondary side non-contact charging module are positioned by a magnet provided at at least one of the modules so that the magnets provided at the both modules or the magnet provided at one module and a magnetic sheet provided at the other module attract each other.</p>', '<p id=""p-0008"" num=""0008"">Further, there is another method in which the primary side non-contact charging module and the secondary side non-contact charging module are positioned accurately without utilizing a magnet.</p>', '<p id=""p-0009"" num=""0009"">For example, there is a method in which the primary side non-contact charging module and the secondary side non-contact charging module are physically (as a shape) and forcibly positioned by fitting a protruding portion formed on a charging surface of a charger provided with the primary side non-contact charging module into a recessed portion formed at an electronic device provided with the secondary side non-contact charging module. There is still another method in which the primary side non-contact charging module detects a position of a coil of the secondary side non-contact charging module to thereby automatically move a coil of the primary side non-contact charging module to the position of the coil of the secondary side non-contact charging module. There is yet another method in which a large number of coils are provided at a charger to thereby enable charging even if a mobile device is placed at anywhere on a charging surface of the charger.</p>', '<p id=""p-0010"" num=""0010"">However, L values of the coils provided at the respective non-contact charging modules largely vary between a case where a magnet is used for positioning the primary side non-contact charging module and the secondary side non-contact charging module and a case where a magnet is not used. Resonant frequency of the electromagnetic induction for power transmission is determined by utilizing the L values of the coils provided at the respective non-contact charging modules.</p>', '<p id=""p-0011"" num=""0011"">Accordingly, there is a problem in that it is difficult to share the non-contact charging modules between a case where a magnet is used for positioning the primary side non-contact charging module and the secondary side non-contact charging module and a case where a magnet is not used.</p>', '<p id=""p-0012"" num=""0012"">Therefore, an object of the present invention is to provide a non-contact charging module which can suppress variation of an L value of a coil provided at the non-contact charging module in both of a case where a magnet provided at the other non-contact charging module serving as a counterpart for power transmission is used and a case where a magnet is not used for positioning a primary side non-contact charging module and a secondary side non-contact charging module, and which can be suitably used in both of a case where a magnet is used and a case where a magnet is not used, and which can realize downsizing, and also to provide an electronic device and a non-contact charging device.</p>']"
1,US10172307B2,"Plant-adventitious-embryo induction method, plant restoration method, and plant reproduction method",utility,"['<p id=""p-0012"" num=""0011"">The present invention aims to solve the above problems and provide a method of regenerating a plant, which allows stable regeneration of plants from calli; and a method of reproducing a plant, which allows stable reproduction of plants without being affected by weather, seasons or other factors. The present invention also aims to provide a method of inducing adventitious embryos of a plant.</p>']"
2,US10172330B2,Gas sensing device,utility,"['<p id=""p-0010"" num=""0009"">Accordingly, the present invention has been made in an effort to solve the above-mentioned problems occurring in the prior arts, and it is an object of the present invention to provide an apparatus for sensing and controlling an amount of gas supply which can grasp a flow speed and a flow amount without any interruption to flowability of gas and allow a user to recognize a state change in real time to sense a flow of gas flowing from the bottom to the top through a tube when the user supplies carbon dioxide into an aquarium, and which can automatically correct the supply amount of gas to match a target supply amount of gas by a series of automated devices.</p>', '<p id=""p-0011"" num=""0010"">It is another object of the present invention to provide an improved and differentiated method for sensing and controlling an amount of gas supply using such an apparatus for sensing and controlling an amount of gas supply.</p>']"
3,US10172357B2,Fungicidal composition and method for controlling plant diseases,utility,"['<p id=""p-0011"" num=""0011"">When pyriofenone, fluazinam and thiophanate-methyl which are active ingredients of the present invention (hereinafter sometimes referred to simply as active ingredients of the present invention) are applied individually, their effects may be insufficient against specific plant diseases, their residual activity will last only for a relatively short period of time, or thiophanate-methyl-resistant fungal pathogen may appear, and they sometimes have practically no sufficient controlling effects against plant diseases.</p>', '<p id=""p-0012"" num=""0012"">The object of the present invention is to remarkably improve controlling effects against plant diseases by using the active ingredients of the present invention in combination.</p>']"
4,US10172374B2,Dried composition and food product containing the same,utility,"['<p id=""p-0016"" num=""0015"">The food product disclosed in Patent Literature 1 features good restorability (imbibition) during rice cooking (in boiling water). However, the food product has a problem of poor restorability (imbibition) in cold water. Additionally, the food product is limited to the rice-shaped form. The food product has a problem of poor restorability (imbibition) in a shape having a small surface area, such as a noodle shape and a plate shape.</p>', '<p id=""p-0017"" num=""0016"">Patent Literatures 2 and 3 aim to produce the heat-resistant gel. Patent Literatures 2 and 3 do not disclose that this gel is formed into a dried product and is put into water and hot water for restoration.</p>', '<p id=""p-0018"" num=""0017"">In Patent Literature 4, the salt is used only to degrade the gel strength of the calcium alginate. Patent Literature 4 does not disclose that the gel is formed into the dried product and is restored by being put into water and hot water. Further, Patent Literature 4 does not disclose a combination use of the agar and the alginate.</p>', '<p id=""p-0019"" num=""0018"">In Patent Literature 5, the agar is the main agent. The content of the agar is relatively larger than the auxiliary agent. Accordingly, there is a problem of high melting rate when the dried food is reconstituted in hot water. Patent Literature 5 discloses that adding Ca and Mg and adding a reaction retarder, such as sodium citrate, are preferable. However, Patent Literature 5 does not disclose a specific amount of each ion to be added. Patent Literature 6 does not disclose amounts of the agar, the auxiliary agent, each ion to be added, nor similar information at all.</p>', '<p id=""p-0020"" num=""0019"">As described above, the following is demanded.']"
5,US10172377B2,"Pet food for dogs, method for manufacture of pet food for dogs, and method for feeding of pet food for dogs",utility,"['<p id=""p-0007"" num=""0006"">When pet food whose soup portion is in a jelly state is intended to be provided for a pet, it is necessary for a user to feed the pet after the jelly-like pet food is loosened by the user and this process takes time and labor in some cases.</p>', '<p id=""p-0008"" num=""0007"">In addition, when jelly-like pet food is intended to be provided for a pet in a state of being mixed with dry type pet food, the jelly is unlikely to be loosened in the jelly-like pet food and is not easily mixed with the dry type pet food in some cases.</p>', '<p id=""p-0009"" num=""0008"">The jelly portion may be in a liquid state in order to be easily mixed with dry type pet food. In a case where the jelly portion is in a liquid state, it is preferable that the liquid portion has fluidity in order to be easily mixed with the dry type pet food. However, there is a problem in that the liquid portion with high fluidity becomes easily adhered to a container used for holding the pet food and the container becomes dirty easily.</p>', '<p id=""p-0010"" num=""0009"">The present invention has been made in consideration of the above-described problems and an object thereof is to provide pet food for dogs which can be easily mixed with dry type pet food for the user, particularly, pet food for dogs which can be easily mixed with dry type pet food and is unlikely to make a container dirty, a method of producing the pet food, and a method of the feeding of the pet food.</p>']"
6,US10172383B2,Drying device and cigarette wrapping paper manufacturing machine using the drying device,utility,"['<p id=""p-0006"" num=""0005"">The present invention provides a drying device capable of suppressing tearing of a web and formation of wrinkles in the web, and a cigarette wrapping paper manufacturing machine using the drying device.</p>']"
7,US10172431B2,Pen and Pen Refill,utility,"['<p id=""p-0014"" num=""0013"">By the way, there may be cases where the pen tip of this type gets dry when an unused state continues, and use of the pen cannot be smoothly started.</p>', '<p id=""p-0015"" num=""0014"">Specifically, the pen of this type can maintain the pen tip in a moist state, because the ink in the ink reservoir is supplied to the pen tip when the ink adhering to the pen tip is consumed.</p>', '<p id=""p-0016"" num=""0015"">However, when an unused state continues in the pen of this type, the ink is not newly supplied to the pen tip, and therefore the ink that has already adhered to the pen tip tends to evaporate or volatilize as it is. Accordingly, when the pen tip gets dry, the components of the ink or foreign matter may be solidified at the pen tip in some cases.</p>', '<p id=""p-0017"" num=""0016"">Therefore, the pen of this type has suffered from problems such as being no longer usable or being unusable until the ink in the ink reservoir is supplied to the pen tip (until the pen tip is abundantly supplied with the ink).</p>', '<p id=""p-0018"" num=""0017"">It is therefore an object of the present invention to provide a pen and a pen refill, the use of which can be started smoothly by suppressing the dryness of the pen tip.</p>']"
8,US10172546B2,"Sensor, network system and controlling method for using the same",utility,"['<p id=""p-0008"" num=""0007"">The embodiment provides a sensor, a network system including the same, and a method of controlling an electronic device using the same.</p>']"
9,US10172571B2,X-ray imaging apparatus,utility,"['<p id=""p-0013"" num=""0012"">The purpose of the present invention to solve the above-described problems according to the related art is to provide an X-ray imaging apparatus which is capable of performing both CT imaging and panorama imaging and also realizing rotation of a sensor unit and sliding movement of a rotation unit by using only one driving part to embody a simple structure and reduce production costs.</p>']"
10,US10172579B2,X-ray imaging system,utility,"['<p id=""p-0007"" num=""0006"">The x-ray detection apparatus can be separated from a table for a patient due to a small force, and damage to a rail unit due to a long period of use.</p>']"
11,US10172584B2,"Method for generating approximate function of total MTF of X-ray image, based on conditions for imaging with X-ray",utility,"['<p id=""p-0014"" num=""0013"">However, none of Non-patent Literatures 1 to 4 discloses a method for determining numerical values that should be input to approximate functions of the respective elements which cause blurs. Stated differently, since none of them disclose a method for generating approximate functions of the respective elements which cause blurs, it is difficult to generate an approximate function of a total MTF. In addition, the x-ray tube nominal focal spot value and the x-ray tube effective focal spot value are slightly different from each other.</p>', '<p id=""p-0015"" num=""0014"">In view of this, the present invention provides a method for generating, based on conditions for imaging with an x-ray emitted by an x-ray tube, an approximate function of a total MTF of an x-ray image which makes it possible to easily compare the differences in resolution characteristics due to the differences in imaging condition combinations.</p>']"
12,US10172763B2,Skin and scalp massaging apparatus using acoustic pressure,utility,"['<p id=""p-0017"" num=""0016"">An object of the present invention is to provide a skin and scalp massaging apparatus including a vibration block using acoustic pressure generated from sound.</p>', '<p id=""p-0018"" num=""0017"">Another object of the present invention is to provide a skin and scalp massaging apparatus using acoustic pressure, the apparatus including a vibration probe to which one of a variety of skin and scalp massaging heads is detachably attached and a vibration block efficiently transmitting vibration to the vibration probe.</p>', '<p id=""p-0019"" num=""0018"">A further object of the present invention is to provide a skin and scalp massaging apparatus using acoustic pressure, the apparatus having an engagement structure for directly transmitting vibration between a vibration probe and a vibration block.</p>']"
13,US10172764B2,Infusion bag film and infusion bag using infusion bag film,utility,"['<p id=""p-0008"" num=""0007"">However, the multi-layer film disclosed in Patent Document 1 has inadequate hot water resistance when the polyamide used in the heat-resistant polyamide resin layer is Nylon 6. Specifically, in an eluate test in The Japanese Pharmacopoeia, Sixteenth Edition, which is required to be performed on aqueous injection containers, a Nylon 6 film whitens or cracks when being heated in hot water at 121° C., and thus cannot meet standards. Such a problem in the hot water resistance is thought to be improved when using Nylon 11 or Nylon 12 in place of Nylon 6 as the polyamide. However, the applicant of the invention has found that in the case in which the thickness of the heat-resistant polyamide resin layer in the multi-layer film is increased and the amount of the polyamide used is increased, the amount of an eluate when the multi-layer film is held in hot water increases when using Nylon 11 or Nylon 12 as the polyamide. Specifically, when a pH test is performed in which a multi-layer film is held for a certain time in hot water at 121° C. to measure the pH of the hot water after the holding, the difference in the pH between the hot water and a blank test liquid increases. That is, elution of some kind of component which changes the pH in the hot water is shown and standards may not be met.</p>', '<p id=""p-0009"" num=""0008"">The invention is contrived in view of such circumstances, and an object thereof is to provide an infusion bag film which has reduced eluate in a pH test, that is, has excellent hot water resistance even when a polyamide resin, which can be heat-sealed in a short period of time at a high temperature but has a problem in the hot water resistance in some cases, is used in a surface layer, and an infusion bag using the infusion bag film.</p>']"
14,US10172768B2,Cosmetic composition containing jade powder for blocking blue light,utility,"['<p id=""p-0011"" num=""0010"">Although it has been recently reported that blue light having a wavelength of 380 to 500 nm in the visible spectrum has lots of problems in that it develops skin barrier dysfunction due to the mitochondrial DNA damage in skin epithelial cells and the inhibited differentiation of keratinocytes, there is no realistic way to protect the skin from blue light because blue light is not effectively blocked even by sunscreen agents.</p>']"
15,US10172777B2,Phytospingosine derivative and composition containing same,utility,"['<p id=""p-0008"" num=""0007"">Because phytospingosine is insoluble in water, and also dissolved at a content of approximately 1% by weight even in a solvent such as isocetyl alcohol, which may be used as a source material for cosmetics, the phytospingosine has technical difficulties in being formulated at a sufficient amount to have an effect as a source material for functional cosmetics, and also has limits in use for cosmetic and pharmaceutical applications due to these problems regarding the water solubility of phytospingosine.</p>', '<p id=""p-0009"" num=""0008"">As a plan to enhance the solubility in water, there is a method of converting phytospingosine into the form of ammonium salts using an acid component. However, this method has a drawback in that an antibacterial effect of phytospingosine may be reduced. As another plan, there is a method including dissolving phytospingosine at a high temperature using a certain oil component and formulating the resulting solution of phytospingosine. However, this method also has a problem regarding the usability and has a drawback in that the phytospingosine may be precipitated in a formulation when stored at room temperature.</p>', '<p id=""p-0010"" num=""0009"">Accordingly, it is an aspect of the present invention to provide a phytospingosine derivative which is easy to formulate because the problems regarding the solubility in water are solved while maintaining an antibacterial effect of phytospingosine, and a composition including the same.</p>']"
16,US10172779B2,Copolymer having carbosiloxane dendrimer structure and composition and cosmetic containing the same,utility,"['<p id=""p-0007"" num=""0006"">The present invention was conceived in light of the current state of the prior art, and the object of the present invention is to provide a cosmetic raw material having good compatibility with other cosmetic raw materials—hardly soluble ultraviolet absorbers, in particular—and capable of improving the compounding stability of a cosmetic and imparting the cosmetic with good water resistance, sebum resistance, luster, tactile sensation, and adhesiveness to the hair or skin, and a cosmetic with excellent surface protective characteristics, appearance, and feel of use formed by adding this cosmetic raw material.</p>']"
