,publication_number,patent_title,appl_type,negative_text
0,US10201261B2,Autonomous traveling body,utility,"['<p id=""p-0007"" num=""0006"">The present invention aims at providing an autonomous traveling body capable of detecting an obstacle brought into contact with a bumper in a wide range with a simple configuration.</p>']"
1,US10201287B2,Biological information detecting device and electronic apparatus,utility,"['<p id=""p-0007"" num=""0006"">However, the irradiation light having different wavelengths which is used in a sensor that measures a pulse wave by detecting reflected light also has different penetration depths of light into a living body. For this reason, in the technique disclosed in PTL 1, the difference in absorbance which is caused by a plurality of sensors also includes an influence caused by the differences in the penetration depths of light having different wavelengths, and therefore, it is difficult to reduce the noise caused by body motion.</p>']"
2,US10201459B2,Method for manufacturing absorbent article,utility,"['<p id=""p-0006"" num=""0005"">In Patent Literature 1, before a welding process and a cutting-and-separating process, the elastic members are divided in advance so as to produce contract force; this makes it possible to prevent the welded area from contracting together with the elastic members when cutting the elastic members. This makes it possible to manufacture a diaper which has a good appearance and keeps up soft feeling on the side sealings thereof. But, in this method, when dividing the elastic member, the continuous sheet which is to be the exterior materials of the diapers is likely to be damaged by tools such as a cutter. If the damaged continuous sheet is heat-welded, it is possible that sufficient welding strength cannot be ensured on the damaged part.</p>', '<p id=""p-0007"" num=""0006"">In the method of Patent Literature 1, a problem concerning leg elastic members provided along the leg openings of a diaper may occur. For example, low fitting of the leg openings causes a gap between a wearer\'s legs and the leg openings when a diaper is worn. In order to prevent excrement leakage from such a gap, the leg elastic members are provided so as to produce stretching/contraction force which is greater than that produced by other elastic members; that is, the leg elastic members are provided being stretched so as to be subjected to greater stress than other elastic members. This improves the fitting of the leg openings of a diaper. But, if the leg elastic members are divided on the welded section as in Patent Literature 1, this may make the leg elastic members to be less likely to be held on the continuous sheet. As a result, the leg elastic members are removed from the leg openings of a diaper, and this is likely to make the fitting of the leg openings worse.</p>', '<p id=""p-0008"" num=""0007"">In view of the problem described above, it is an advantage of the invention to provide a pull-on diaper in which the welding strength of the side parts thereof is sufficient and the leg elastic members thereof are less likely to be removed.</p>']"
3,US10201468B2,Device for treating dry eye syndrome and strengthening eyesight,utility,"['<p id=""p-0010"" num=""0009"">According to an embodiment, a technical objective is to provide a device for treating dry eye syndrome and strengthening eyesight, which includes a saline solution container for storing saline solution therein, and a water goggles main body part for administering saline solution only to eyeballs and facial area near the eyeballs, in which the saline solution container and the water goggles main body part are configured so as to be separable, thus facilitating hygienic management of the therapeutic device, and in which ocular muscle exercise can be performed in the saline solution in close adhesion against the water goggles main body part such that dry eye syndrome treatment can be performed freely in a comfortable condition.</p>', '<p id=""p-0011"" num=""0010"">Further, a technical objective is to provide a device for treating dry eye syndrome and strengthening eyesight, in which, during ocular muscle exercise, eye cleanse is enabled to strengthen eyesight and also to remove waste from inside the eye, and dry eye syndrome can be prevented and treated at economic cost.</p>', '<p id=""p-0012"" num=""0011"">Further, a technical objective is to provide a device for treating dry eye syndrome and strengthening eyesight, capable of preventing and treating dry eye syndrome that may occur as the eyeballs age, and strengthening ocular muscles by way of ocular muscle (ciliary body) exercise, while also delaying or preventing weakening eyesight by stimulating blood circulation around eyes.</p>']"
4,US10201493B2,Method of reducing oral biofilm,utility,"['<p id=""p-0011"" num=""0010"">Conventionally, in the methods for inhibiting the periodontal diseases which employ a certain antibacterial agent, the dental biofilm prevents the permeation of antibacterial agents and thus makes it difficult to achieve the intended periodontal disease inhibitory effects. Further, the use of antibacterial agents involves a high risk of resistant bacteria emergence, hence is not preferable. For these reason, controlling biofilm formed by <i>A. naeslundii</i>, which related to the initial stage of periodontitis is considered to be a periodontal disease prevention method which is safer and more effective than sterilizing the periodontal disease bacteria.</p>']"
5,US10201531B2,Indazolyl-oxo-isothiazole compounds,utility,"['<p id=""p-0011"" num=""0011"">There have been multiple reports of compounds having Nrf2 activation ability, but the general issues mentioned above with respect to drug development are always present. More particularly, there are problems of utility and safety, such as for example poor solubility, difficulty of systemic exposure through oral administration due to poor metabolic stability, poor pharmacokinetics such as absorbability and persistence, risk of arrhythmia due to inhibition of the hERG (human ether-a-go-go related gene) channel, induction or inhibition of drug metabolizing enzymes (such as cytochrome P450), and strong protein binding. Drugs need to be discovered that are highly effective while avoiding these problems as much as possible.</p>']"
6,US10201665B2,Medical puncture needle and method of manufacturing puncture needle,utility,"['<p id=""p-0006"" num=""0005"">An injection needle having an end portion formed by connecting a plurality of slanted surfaces having different angles with respect to a longitudinal direction, as in ce \'615, can alleviate the pain caused during insertion of the injection needle into human body. However, a configuration having connection between the plurality of slanted surfaces of different angles with respect to a longitudinal direction forms a ridge at a connection between the plurality of slanted surfaces, the ridge generates puncture resistance during insertion of the injection needle, and a patient\'s pain or the like may not be fully reduced.</p>', '<p id=""p-0007"" num=""0006"">Embodiments of the present invention have been made in view of the above problems, and an object of certain embodiments of the present invention is to provide a medical puncture needle having a beveled shape unlikely to form a ridge constituted by a plurality of bevels and causing puncture resistance, and to provide a method of manufacturing the puncture needle.</p>']"
7,US10201781B2,CO2 recovery device and CO2 recovery method,utility,"['<p id=""p-0009"" num=""0008"">However, in recent years, it has been desired to further reduce the concentration of an absorption liquid component emitted while remaining in the CO<sub>2</sub>-removed flue gas from a viewpoint of environmental preservation. Particularly, in a case where a CO<sub>2 </sub>recovery device is installed with respect to flue gas from thermoelectric power plants or the like with a high processing gas flow rate expected in the future, since the emission amount of the flue gas is large, the emission amount of the absorption liquid component emitted while remaining in the CO<sub>2</sub>-removed flue gas tends to increase, and it is required to further reduce the concentration of basic amine compounds (absorption liquid component) to be emitted.</p>', '<p id=""p-0010"" num=""0009"">The invention solves the above-described problems, and an object thereof is to provide a CO<sub>2 </sub>recovery device and a CO<sub>2 </sub>recovery method that can further reduce the concentration of basic amine compounds released while remaining in a CO<sub>2</sub>-removed flue gas.</p>']"
8,US10201791B2,Method for producing carbon particles by detonation,utility,"['<p id=""p-0007"" num=""0006"">It is anticipated that the demanded amount of nanodiamond will increase more and more in the future with the development of its application. However, as for the production using a military waste low explosive, there is a limit in the production volume. Therefore, there is a possibility that the supply will be short in the international market in the future. Then, the domestic production is expected. However, the nanodiamond cannot be produced in a good yield by the conventional method described above, which causes a problem of unprofitability in economy.</p>', '<p id=""p-0008"" num=""0007"">The present invention solves the above-described conventional problem, and an object thereof is to provide a method for producing carbon particles containing nanodiamond and graphite carbon by a detonation method using a low explosive raw material, and more particularly to provide a method for producing nanodiamond in a good yield.</p>']"
9,US10201798B2,Polymerization reactor,utility,"['<p id=""p-0007"" num=""0006"">The present invention provides as a problem to be solved a polymerization reactor which can reduce the difference between the upper temperature and the lower temperature in the reactor.</p>', '<p id=""p-0008"" num=""0007"">In addition, the present invention provides as a problem to be solved a polymerization reactor which can increase the temperature of the lower part in the reactor.</p>', '<p id=""p-0009"" num=""0008"">Furthermore, the present invention provides as a problem to be solved a polymerization reactor which can improve polymerization quality and a conversion ratio of a monomer.</p>']"
10,US10201801B2,"Hybrid water treatment agent of β-manganese dioxide nanoparticles and carbon nanotube, preparation method therefor, water treatment apparatus using same, and underground water in situ treatment apparatus",utility,"['<p id=""p-0010"" num=""0009"">The present disclosure is directed to providing a water treatment agent, in which β-manganese dioxide nanoparticles are immobilized on carbon nanotubes capable of adsorbing organic pollutants, leading to outstanding adsorption performance and oxidative removal performance of organic pollutants, and the β-manganese dioxide nanoparticles are immobilized and supported on a carbon nanotube support, thereby preventing leakage from a reactor and enabling applicability to a commercialization process, a preparation method thereof, and a water treatment apparatus and an in-situ groundwater treatment apparatus using the same.</p>']"
11,US10201808B2,Method for preventing a photocatalyst from decreasing in hydrophilicity,utility,"['<p id=""p-0006"" num=""0005"">In Patent Literature 1, the fluorine resin coating film, the silicone resin coating film, the modified silicone resin coating film, the polysulfide resin coating film, or the polyisobutylene resin coating film is formed as the layer for preventing elution of the sealant component. The elution preventing effect of the resin coating film is reduced by use for a long time, and the sealant component gradually bleeds out. Thereby, the photocatalyst is contaminated to decrease photocatalytic hydrophilicity.</p>']"
12,US10201852B2,"Silver particle synthesizing method, silver particles, conductive paste producing method, and conductive paste",utility,"['<p id=""p-0005"" num=""0004"">However, in a situation in which a target product (for example, a wiring substrate) on which a wire is to be formed or bonding target products (for example, a lead frame and a wiring substrate) has/have low thermal resistivity, baking or sintering temperature may be limited to about 150° C. as an upper limit. For this reason, there is a demand for a conductive paste having sufficiently low resistivity even when produced through baking or sintering at a low temperature of about 150° C. Typical order of the resistivity required for a wiring material and a bonding material is no greater than the order of 10<sup>−5 </sup>Ω·cm.</p>', '<p id=""p-0006"" num=""0005"">By contrast, the resistivity of a conductive paste containing the silver micro-particles produced through the atomizing method and the flattening processing can have sufficiently low resistivity (resistivity in the order of 10<sup>−5 </sup>Ω·cm) only when the conductive paste is subjected to baking or sintering at a temperature of at least 180° C. in an atmosphere. One of factors therein is insufficient packability of the silver particles contained in the conductive paste (packing density of the silver particles). This is due to impossibility of producing silver particles having uniform particle diameter and shape by a combination of the atomizing method and the flattening processing.</p>', '<p id=""p-0007"" num=""0006"">The present invention has been made in view of the foregoing and has its object of providing a silver particle synthesizing method that can improve packability of silver particles, silver particles, a conductive paste producing method, and a conductive paste.</p>']"
13,US10201855B2,"Cutting insert, tool body and cutting tool",utility,"['<p id=""p-0005"" num=""0004"">As to the conventional cutting insert, tool body and cutting tool of Patent Document 1, chips may become caught in between an end surface of the cutting insert and a workpiece when grooving is performed on a corner of the workpiece, leading to the occurrence of damage in the workpiece or in the cutting insert. In other words, as viewed from the direction facing the rake surface, the angle formed by the front cutting edge and the intersecting edge between the lower surface and the peripheral side surface is slightly smaller than 90° (the angle α is approximately from 1° to 2°), and this leads to a small gap between the lower surface and the workpiece, resulting in a problem in that chips are likely to become caught in such gap.</p>']"
14,US10201859B2,Chuck structure,utility,"['<p id=""p-0007"" num=""0006"">In the outer diameter collet chuck disclosed in Patent Literature 1, there is a fear in that a radially outer surface of the workpiece may be chucked with an excessively large force. Accordingly, even if working is intended to be performed on the workpiece with high accuracy, e.g., working accuracy of 1/1000 mm through use of the outer diameter collet chuck disclosed in Patent Literature 1, when the outer diameter collet chuck chucks an annular workpiece, in particular, a thin and annular workpiece, there is a fear in that the workpiece is deformed by being chucked so that the working accuracy is degraded.</p>', '<p id=""p-0008"" num=""0007"">Accordingly, it is necessary to chuck the thin and annular workpiece with a relatively small force. In this context, as disclosed in Patent Literature 2, there can be proposed the device configured to clamp the workpiece by the pair of leaf spring members. That is, the device has the structure of clamping the workpiece by the opposing two leaf spring members.</p>', '<p id=""p-0009"" num=""0008"">However, when the workpiece is chucked by the two leaf spring members, the workpiece cannot be held satisfactorily in a radial direction. Further, the device disclosed in Patent Literature 2 is configured to chuck a minute workpiece. Accordingly, it is structurally difficult to employ the device disclosed in Patent Literature 2 to chuck the workpiece on a main spindle of a machine tool configured to perform working on an annular workpiece having a large diameter.</p>', '<p id=""p-0010"" num=""0009"">The present invention has been made in view of the above-mentioned problems, and has an object to provide a chuck structure capable of stably chucking an annular workpiece without deforming the workpiece.</p>']"
15,US10201865B2,Portable electric cutter,utility,"['<p id=""p-0007"" num=""0006"">Incidentally, a portable electric round saw does not have an external form using a relatively long cylindrical housing like that described in the Patent Document 1 and uses a very high power motor. Therefore, the volume including elements of a circuit board for driving the motor is increased, and some ingenuity is required for the securing of the space to dispose the circuit board for driving the motor and the cooling thereof. Furthermore, the shape of the housing that does not affect the operability of the portable electric round saw is necessary.</p>', '<p id=""p-0008"" num=""0007"">The present invention has been created in consideration of such circumstances, and an object of the present invention is to provide a portable electric cutter capable of securing a space to dispose a circuit board for driving a motor and successfully cooling the circuit board without impairing the operability and greatly changing the shape of a housing in which the motor is accommodated.</p>']"
