,publication_number,patent_title,appl_type,positive_text
0,US10201493B2,Method of reducing oral biofilm,utility,"['<p id=""p-0016"" num=""0015"">The present invention provides a periodontal disease preventive agent with a new perspective, and is believed, when compared with the existing antibacterial agents, to have a lower risk of resistant bacteria emergence, and the like, hence advantageous.</p>']"
1,US10201531B2,Indazolyl-oxo-isothiazole compounds,utility,"['<p id=""p-0013"" num=""0013""><chemistry id=""CHEM-US-00002"" num=""00002"">']"
2,US10201665B2,Medical puncture needle and method of manufacturing puncture needle,utility,"['<p id=""p-0016"" num=""0015"">According to the present invention, the medical puncture needle having a beveled shape unlikely to form a ridge constituted by a plurality of bevels and causing the puncture resistance, and the method of manufacturing the puncture needle.</p>']"
3,US10201781B2,CO2 recovery device and CO2 recovery method,utility,"['<p id=""p-0016"" num=""0015"">According to the invention, the concentration of basic amine compounds of the absorption liquid released while remaining in the CO<sub>2</sub>-removed flue gas can be further reduced, and the recovered absorption liquid can be reused.</p>']"
4,US10201788B2,Polymer flocculant mixing and dissolving system configured to control pressure on discharge side of regenerative mixer and method thereof,utility,"['<p id=""p-0024"" num=""0023"">The present invention comprising: mixing a solid polymer flocculant with water as a solvent, feeding an aqueous solution which taken by mixing to a regenerative mixer, and mixing and dissolving the polymer flocculant in the regenerative mixer through pressure application by forming a vortex flow of the aqueous solution along an inner circumferential wall of a casing of the regenerative mixer. In this composition, it is able to dissolve an undissolved polymer flocculant immediately without applying a mechanical action such as crushing or grinding. As a result, an solution of a polymer flocculant can be produced in a short period of time using low power, and this fresh aqueous solution of the polymer flocculant can be used to perform favorable sludge disposal, water treatment, or the like.</p>', '<p id=""p-0025"" num=""0024"">Furthermore, with the present invention, it is not applying a mechanical action such as crushing or grinding and therefore, a concern that the molecular structure of the polymer flocculant is broken, resulting in deterioration of the polymer flocculant, and a concern that such a breakage has an influence on the sludge disposal step or the water treatment step can be advantageously reduced compared with a case where a conventional system is used.</p>']"
5,US10201808B2,Method for preventing a photocatalyst from decreasing in hydrophilicity,utility,"['<p id=""p-0012"" num=""0011"">The present invention is a method comprising the step of forming a transparent preventing layer on a surface of a sealant which fixes (seals) an article, the article has a photocatalyst layer formed on at least a part of a surface of the article, and the transparent preventing layer comprises a modified epoxy resin prepared by graft polymerizing or copolymerizing a polymerizable unsaturated monomer with an epoxy resin, and prevents a sealant component from bleeding out from the sealant. Thereby, bleeding of the sealant can be prevented, and the photocatalytic hydrophilicity can be kept for a long time. Moreover, the layer for preventing a sealant component from bleeding out is suitable for transparent articles such as a glass structure because the layer has transparency even at the thickness of the film is thick.</p>', '<p id=""p-0013"" num=""0012"">Moreover, the present invention is a method comprising the steps of forming a photocatalyst layer on at least a part of a surface of the article which is fixed (sealed) by a sealant, and forming a preventing layer on a surface of the sealant, the preventing layer prevents a sealant component from bleeding out from the sealant. Thereby, the photocatalyst layer and the layer for preventing a sealant component from bleeding out can be formed in a worksite in which the article is constructed.</p>', '<p id=""p-0014"" num=""0013"">Moreover, the present invention is an article comprising a photocatalyst layer on at least a part of a surface of the article, a sealant which fixes (seals) the article, and a preventing layer on a surface of the sealant, the preventing layer prevents a sealant component from bleeding out from the sealant. Thereby, the photocatalytic hydrophilicity can be kept for a long time. Thereby, fading of the surface coating by the water droplets can be prevented for a long time, and fogging caused by adhesion of fine water droplets can be prevented for a long time to secure visibility. Moreover, a dirt resistance effect to facilitate washing off the dirt on the surface of the article and a room temperature control function can be given to the article for a long time.</p>', '<p id=""p-0015"" num=""0014"">Further, the present invention is a transparent composition for preventing a photocatalyst from decreasing in hydrophilicity, comprising a modified epoxy resin prepared by graft polymerizing or copolymerizing a polymerizable unsaturated monomer with an epoxy resin.</p>', '<p id=""h-0010"" num=""0000"">The composition can be coated to a photocatalytic article newly provided and a photocatalytic article already provided, and can be used to prevent decrease in the photocatalytic hydrophilicity.</p>']"
6,US10201836B2,Powder classifying apparatus,utility,"['<p id=""p-0016"" num=""0015"">According to the present invention, the classification point of a powder classifying apparatus can be smaller as compared to that of the conventional art while high accuracy is maintained in classification of raw material powder having a particle size distribution into fine powder and coarse powder.</p>']"
7,US10201852B2,"Silver particle synthesizing method, silver particles, conductive paste producing method, and conductive paste",utility,"['<p id=""p-0023"" num=""0022"">According to the present invention, packability of silver particles can be improved.</p>']"
8,US10201855B2,"Cutting insert, tool body and cutting tool",utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, chips are restrained or prevented from becoming caught in between the cutting insert and the workpiece.</p>']"
9,US10201859B2,Chuck structure,utility,"['<p id=""p-0020"" num=""0019"">Even when each of the chuck claw members exerts a small pressing force on the radially outer surface of the workpiece, the chuck structure according to the first aspect of the present invention can stably chuck the workpiece. Thus, even when the workpiece is thin and annular, the chuck structure can stably chuck the workpiece without deforming the workpiece.</p>', '<p id=""p-0021"" num=""0020"">As each of the leaf spring members, there is used a leaf spring member arranged in an oblique posture so that a distal end side of the leaf spring member is directed radially outward. With this configuration, a moving amount of each of the chuck claw members during a shift from a chucked state to an unchucked state or during a shift from the unchucked state to the chucked state can be stably secured. In addition, a relatively large moving amount is secured as the moving amount of each of the chuck claw members. Accordingly, even when a circularity of the radially outer surface of the workpiece is somewhat poor, the workpiece can be chucked with less influence on deformation. Further, accuracy of loading is not required.</p>', '<p id=""p-0022"" num=""0021"">When the pressing members can be moved up and down in synchronization with each other, the chuck claw members are tightened and loosened in the radial direction in synchronization with each other, thereby being capable of chucking the workpiece with high accuracy. When the first vertically-movable shaft and the second vertically-movable shaft can be vertically moved independently of each other, the leaf spring members and the pressing members can be moved up and down at the same time by the same amount, or the leaf spring members and the pressing members can be moved up and down separately by the same amount or different amounts. Thus, a chucking force can be freely changed by freely varying a shifting amount of the leaf spring members.</p>', '<p id=""p-0023"" num=""0022"">When the chuck structure comprises the backing plate, the workpiece can be stably seated on the backing plate. Thus, working on the workpiece through use of a machine tool such as a grinding machine employing the above-mentioned chuck structure can be performed with high accuracy.</p>', '<p id=""p-0024"" num=""0023"">Even when each of the chuck claw members exerts a small pressing force on the radially inner surface of the workpiece, the chuck structure according to the second aspect of the present invention can stably chuck the workpiece. Thus, even when the workpiece is thin and annular, the chuck structure can stably chuck the workpiece without deforming the workpiece.</p>']"
10,US10201865B2,Portable electric cutter,utility,"['<p id=""p-0012"" num=""0011"">According to the present invention, it is possible to secure a space to dispose the circuit board and successfully cool the circuit board without impairing the operability and greatly changing the shape of the housing in which the motor is accommodated.</p>']"
11,US10201873B2,Friction stir spot welding device and friction stir spot welding method,utility,"['<p id=""p-0012"" num=""0011"">In accordance with a friction stir spot welding device and a friction stir spot welding method of the present invention, a good welding quality can be realized even when the serial spots welding is performed.</p>']"
12,US10201879B2,Silver paste composition and semiconductor device using same,utility,"['<p id=""p-0018"" num=""0017"">According to the present invention, a silver paste composition which exhibits a high adhesive property by only a one-step sintering step and in which a silver hardened body obtained by hardening the silver paste composition after bonding has a sufficient thermal conductive property and electrical conductive property, and a semiconductor device using the same can be provided.</p>']"
13,US10201886B2,Polishing pad and method for manufacturing the same,utility,"['<p id=""p-0009"" num=""0016"">The present invention can provide a polishing pad capable of sufficiently reducing minute defects to be generated after polishing on a workpiece which are detected in measurement for a particle size of 26 nm or smaller and capable of providing the workpiece with excellent surface flatness, and a method for manufacturing the polishing pad.</p>']"
14,US10202008B2,Tire,utility,"['<p id=""p-0014"" num=""0013"">The present invention provides a tire that can reduce weight of the tire and improve operation stability in turning by enhancing rigidity of a bead part in a lateral direction.</p>']"
15,US10202020B2,Electric compressor control system and electric compressor for vehicular air conditioning device provided with said system,utility,"['<p id=""p-0016"" num=""0015"">The present invention achieves an effect by which electromagnetic noise generated from a substrate, on which a microcomputer and the like are mounted, can be suppressed.</p>']"
