,publication_number,patent_title,appl_type,positive_text
0,US10165738B2,Blow operation device,utility,"['<p id=""p-0011"" num=""0010"">In such a blow operation device, the battery and the blower body are attached to the frame, and the blower body is attached along the back contact surface of the frame. Therefore, the blower body and the battery that are heavy objects can be made close to the back and carried on the back of an operator, and the burden of heavy weight on the operator can be reduced sufficiently. Since an operation is done without the heavy weight of the blower body being borne only with one\'s hand, fatigue in the arm of the operator can be reduced.</p>']"
1,US10165942B2,"Optical tomographic imaging apparatus, control method therefor, and program therefor",utility,"['<p id=""p-0018"" num=""0017"">According to the one embodiment of the present invention, the focus adjustment is enabled with respect to the object to be inspected even when the optical member for changing a field angle is inserted in order to change the field angle of an image acquiring area of the tomographic image, and a clear tomographic image with a focus on the object to be inspected may be acquired.</p>', '<p id=""p-0019"" num=""0018"">Further features of the present invention will become apparent from the following description of exemplary embodiments with reference to the attached drawings.</p>']"
2,US10165999B2,Radiological-image acquisition device,utility,"['<p id=""p-0012"" num=""0011"">According to an aspect of the invention, it is possible to realize improvement of a frame rate and suppression of power consumption by not initializing at least one pixel in each of a first frame and a second frame that are sequential frames.</p>']"
3,US10166016B2,Medical retractor,utility,"['<p id=""p-0040"" num=""0039"">According to the present invention, there is provided the medical retractor capable of ensuring visibility of a field of operation and in the periphery of the field of operation while realizing the reduction in weight of the retractor compared to a conventional steel-made retractor. That is, according to the medical retractor of the present invention, an affected part which opposedly faces the back surface side of the resin functional portion is viewable through the hook-shaped portion. Accordingly, an affected part which is disposed in a shadow of the refractor and is not viewable if the medical retractor is formed of a steel-made retractor is viewable and hence, visibility of a field of operation can be largely increased compared to a conventional steel-made retractor. Also with respect to the trunk portion, an affected part which opposedly faces the back surface side is viewable and hence, even when a first retractor which retracts a tissue on a superficial layer side and a second retractor which retracts a tissue on a deep layer side are used simultaneously, it is possible to view the tissue which is retracted by the first retractor and is positioned on a back side of the second retractor through the trunk portion of the second retractor. Accordingly, visibility of a field of operation can be enhanced compared to the conventional medical retractor.</p>', '<p id=""p-0041"" num=""0040"">According to one embodiment of the invention, not to mention that light which is incident on the proximal end of the trunk portion from the light source of the grip portion is emitted from the distal ends and corner portions of the hook-shaped portion and the like and is irradiated to an affected part in the periphery of the medical retractor, leaked light is generated from a wall surface parallel to an advancing direction of light and hence, it is possible to largely increase visibility of an affected part which opposedly faces such a wall surface (back surface) when viewed from a wall surface (front surface) side on a side opposite to the affected part. Accordingly, the visibility of a field of operation can be enhanced compared to the prior art.</p>', '<p id=""p-0042"" num=""0041"">According to one embodiment of the invention, with such a medical retractor, it is possible to prevent a possibility that a liquid (body fluid, drug solution or the like) which has a possibility of being adhered to a connecting portion between the grip portion and the resin functional portion during an operation intrudes into the inside of the grip portion through a gap in the connecting portion. Accordingly, it is possible to eliminate lowering of light emitting intensity of the light source and short-circuiting of an inner electric system.</p>', '<p id=""p-0043"" num=""0042"">According to one embodiment of the invention, with such a medical retractor, light which is incident on the resin functional portion from the light source minimally leaks to the outside due to an effect of closing light in the layer boundary and hence, a quantity of light which reaches the hook-shaped portion extending from the distal end of the trunk portion can be increased. Further, by selecting a direction approximately orthogonal to the back surface of the resin functional portion as the direction of the layer boundary, it is possible to ensure leaked light to the back surface side at the same level or above corresponding to leaked light when a resin functional portion does not have the layered structure and hence, it is possible to prevent lowering of an effect of enhancing back-surface-side visibility by leaked light.</p>', '<p id=""p-0044"" num=""0043"">According to one embodiment of the invention, with such a medical retractor, the back surface and the front surface of the resin functional portion are respectively formed flat and hence, it is possible to ensure favorable visibility of an affected part which opposedly faces the back surface as viewed from a front surface side. Further, it is possible to view the affected part in an actual size.</p>', '<p id=""p-0045"" num=""0044"">According to one embodiment of the invention, with such a medical retractor, an affected part which opposedly faces the back surface is viewed in an enlarged state from a front surface side and hence, while ensuring visibility of the affected part which opposedly faces the back surface of the resin functional portion from the front surface side, it is also possible to view a fine part of a tissue of the affected part.</p>', '<p id=""p-0046"" num=""0045"">According to one embodiment of the invention, with such a medical retractor, an aqueous liquid or an oil-based liquid minimally adheres to the surface of the resin functional portion so that it is possible to prevent as much as possible a case where visibility and light emission through the resin functional portion are lowered by a liquid which has a possibility of being adhered to the resin functional portion during an operation.</p>', '<p id=""p-0047"" num=""0046"">According to one embodiment of the invention, with such a medical retractor, it is possible to make a portion of the medical retractor emit light even when the medical retractor is not provided with a light source. Further, even in the case where the medical retractor is provided with a light source, when light emission from the light source is stopped due to a power source condition, the light storage member emits light for a fixed time and hence, a field of vision can be maintained to some extent in a field of operation.</p>', '<p id=""p-0048"" num=""0047"">According to one embodiment of the invention, with such a medical retractor, light which advances through the trunk portion can easily advance toward the hook-shaped portion without being emitted to the outside at a bent portion. Accordingly, a quantity of light irradiated to a field of operation around the hook-shaped portion is increased and leaked light from the hook-shaped portion is also increased and hence, back-surface-side visibility can be enhanced.</p>', '<p id=""p-0049"" num=""0048"">According to one embodiment of the invention, with such a medical retractor, light which advances through the trunk portion can easily advance toward the hook-shaped portion without being emitted to the outside at a bent portion. Accordingly, a quantity of light irradiated to a field of operation around the hook-shaped portion is increased and leaked light from the hook-shaped portion is also increased and hence, back surface-side visibility can be enhanced.</p>', '<p id=""p-0050"" num=""0049"">According to one embodiment of the invention, with such a medical retractor, a burden imposed on a doctor or an assistant in retracting a tissue using a medical retractor can be reduced.</p>', '<p id=""p-0051"" num=""0050"">According to one embodiment of the invention, with such a medical retractor, a strength of the medical retractor is reinforced by the rib structure formed of the projection and hence, a resin which has low rigidity compared to metal can ensure sufficient rigidity. Further, the projecting height of the projection formed on the hook-shaped portion near an operation target part is set small and hence, shielding of a field of operation by the projection is lowered as much as possible. Further, the projection has the larger width and hence, back-surface-side visibility through the projection can be ensured to some extent.</p>']"
4,US10166040B2,Organ resection tool,utility,"['<p id=""p-0087"" num=""0088"">(Organ Resection Tool Including Brush Structure Capable of Performing Microwave Irradiation)</p>', '<p id=""p-0088"" num=""0089"">The organ resection tool including a brush structure capable of performing microwave irradiation according to the present invention provides an inexpensive solid organ resection tool with a simple structure capable of crushing, cutting, scraping off, washing away as desired, and/or aspirating an organ (in particular, a solid organ) with the brush structure, and concurrently stopping, through microwave irradiation, bleeding from fine blood vessels on the periphery of the organ that has been scraped off.</p>', '<p id=""p-0089"" num=""0090"">Note that, the inventors of the present invention have provided a surgical tool including a brush structure serving as a capillary aspiration cannula. Although the surgical tool includes an aspiration tube including a coagulation device, the purpose of the aspiration tube is to aspirate an organ without damaging the organ. That is, the organ resection tool including a brush structure capable of performing microwave irradiation according to the present invention is completely different from the surgical tool including a brush structure serving as a capillary aspiration cannula.</p>', '<p id=""p-0090"" num=""0091"">(Organ Resection Tool Including Vibration Function Means with Tip End Portion Positioned in Microwave Irradiation Range)</p>', '<p id=""p-0091"" num=""0092"">The organ resection tool including vibration function means with a tip end portion positioned in a microwave irradiation range according to the present invention provides an inexpensive organ resection tool with a simple structure capable of crushing, washing away, and further as desired, aspirating an organ (in particular, a solid organ) with the vibration function means, and concurrently stopping, through microwave irradiation, bleeding from fine blood vessels on the periphery of the crushed organ. Accordingly, a cutting line of an organ becomes easy to observe, and blood vessels and the like of an organ, which need to be left, can be visually recognized easily.</p>']"
5,US10166086B2,Dental therapy apparatus,utility,"['<p id=""p-0012"" num=""0011"">The present invention can provide a dental therapy apparatus which enables a dental therapy more surely and less invasively.</p>']"
6,US10166154B2,"Shaped non-woven fabric for absorbent article, absorbent article including said shaped non-woven fabric, and method for manufacturing said shaped non-woven fabric",utility,"['<p id=""p-0011"" num=""0010"">The nonwoven fabric which is shaped to be used for an absorbent article of the present disclosure has an excellent texture and excellent air permeability in the thickness direction due to ease of the air on one surface side moving to the other surface side.</p>']"
7,US10166217B2,Fungal keratitis prophylactic or therapeutic agent,utility,"['<p id=""p-0027"" num=""0028"">According to the present invention, it is possible to provide an agent for prevention or treatment of keratomycosis, which contains rapamycin or a salt thereof as an active ingredient. Furthermore, by subconjunctivally administrating an injection containing rapamycin or a salt thereof, polyethylene glycol, and ethanol, a long-lasting therapeutic effect on keratomycosis can be obtained with less frequent administration than existing medicaments.</p>']"
8,US10166525B2,Microwave irradiating and heating device,utility,"['<p id=""p-0011"" num=""0012"">Because a microwave irradiating and heating device according to the present disclosure is configured as described above, the microwave irradiating and heating device can confine the microwave and the sample material within the reaction furnace.</p>']"
9,US10166580B2,"Aluminum foil, electronic device, roll-to-roll aluminum foil, and method of producing aluminum foil",utility,"['<p id=""p-0018"" num=""0017"">According to the present invention, there can be provided: an aluminum foil in which occurrence of wrinkling or waviness is suppressed when a roll-to-roll process is performed; an electronic device including the aluminum foil; a roll-to-roll aluminum foil; and a method of producing the aluminum foil.</p>']"
